game_id,year_id,fran_id,opp_fran,game_location,is_playoffs,pts,opp_pts,game_result,forecast,point_diff
194701270BOS,1947,Celtics,Capitols,H,0,57,80,L,0.34449345,-23
194701290NYK,1947,Knicks,Ironmen,H,0,64,60,W,0.722431,4
194701290WSC,1947,Celtics,Capitols,A,0,57,69,L,0.12717342,-12
194701300BOS,1947,Celtics,Ironmen,H,0,66,51,W,0.6422224,15
194701300GSW,1947,Knicks,Warriors,A,0,58,65,L,0.30124444,-7
194702010NYK,1947,Knicks,Warriors,H,0,63,71,L,0.56406307,-8
194702020DTF,1947,Knicks,Falcons,A,0,63,65,L,0.41854697,-2
194702030BOS,1947,Celtics,Warriors,H,0,55,61,L,0.46672928,-6
194702050NYK,1947,Knicks,Bombers,H,0,46,71,L,0.54271287,-25
194702060BOS,1947,Celtics,Knicks,H,0,49,48,W,0.60137117,1
194702060BOS,1947,Knicks,Celtics,A,0,48,49,L,0.39862883,-1
194702080NYK,1947,Knicks,Huskies,H,0,69,46,W,0.67502677,23
194702120NYK,1947,Knicks,Capitols,H,0,76,72,W,0.37314409,4
194702130BOS,1947,Celtics,Bombers,H,0,64,54,W,0.45256445,10
194702150NYK,1947,Knicks,Rebels,H,0,84,90,L,0.61989367,-6
194702160CHS,1947,Celtics,Stags,A,0,77,84,L,0.18117541,-7
194702160DTF,1947,Knicks,Falcons,A,0,66,58,W,0.36089361,8
194702180CLR,1947,Celtics,Rebels,A,0,73,84,L,0.28047459999999996,-11
194702190DTF,1947,Celtics,Falcons,A,0,57,51,W,0.34814423,6
194702190NYK,1947,Knicks,Steamrollers,H,0,62,69,L,0.63410562,-7
194702210NYK,1947,Knicks,Ironmen,H,0,77,49,W,0.72896463,28
194702210TRH,1947,Celtics,Huskies,A,0,61,67,L,0.38661969,-6
194702230BOS,1947,Celtics,Steamrollers,H,0,55,67,L,0.57069027,-12
194702230CHS,1947,Knicks,Stags,A,0,68,82,L,0.22205275,-14
194702240WSC,1947,Celtics,Capitols,A,0,59,83,L,0.12092489,-24
194702260NYK,1947,Knicks,Capitols,H,0,60,84,L,0.35211492,-24
194702270PRO,1947,Knicks,Steamrollers,A,0,73,65,W,0.31945342,8
194702280BOS,1947,Celtics,Rebels,H,0,69,62,W,0.54200822,7
194703010NYK,1947,Knicks,Huskies,H,0,63,48,W,0.66334957,15
194703010WSC,1947,Celtics,Capitols,A,0,52,75,L,0.11399204,-23
194703060BOS,1947,Celtics,Falcons,H,0,74,65,W,0.62940526,9
194703060GSW,1947,Knicks,Warriors,A,0,61,59,W,0.25293106,2
194703080BOS,1947,Celtics,Huskies,H,0,67,65,W,0.6337136,2
194703080NYK,1947,Knicks,Falcons,H,0,64,61,W,0.71366781,3
194703100BOS,1947,Celtics,Steamrollers,H,0,70,87,L,0.60202831,-17
194703120BOS,1947,Celtics,Huskies,H,0,69,57,W,0.60362273,12
194703130NYK,1947,Knicks,Bombers,H,0,78,74,W,0.55257595,4
194703130GSW,1947,Celtics,Warriors,A,0,57,81,L,0.21366906,-24
194703150WSC,1947,Knicks,Capitols,A,0,63,78,L,0.1311174,-15
194703160CLR,1947,Knicks,Rebels,A,0,81,69,W,0.36350191,12
194703180BOS,1947,Celtics,Rebels,H,0,58,67,L,0.56660634,-9
194703190CHS,1947,Knicks,Stags,A,0,65,57,W,0.22403961,8
194703200STB,1947,Knicks,Bombers,A,0,49,51,L,0.31069326,-2
194703220WSC,1947,Knicks,Capitols,A,0,68,63,W,0.14765996,5
194703240BOS,1947,Celtics,Stags,H,0,69,80,L,0.37431052,-11
194703240PIT,1947,Knicks,Ironmen,A,0,65,51,W,0.6420600999999999,14
194703250CLR,1947,Celtics,Rebels,A,0,64,72,L,0.23729593,-8
194703260NYK,1947,Knicks,Steamrollers,H,0,91,84,W,0.72642821,7
194703260PIT,1947,Celtics,Ironmen,A,0,74,61,W,0.45511156,13
194703280TRH,1947,Knicks,Huskies,A,0,61,71,L,0.56818616,-10
194703290STB,1947,Celtics,Bombers,A,0,55,59,L,0.17829823,-4
194703300CLR,1947,Celtics,Rebels,A,0,71,66,W,0.24443334,5
194703300GSW,1947,Knicks,Warriors,A,0,72,76,L,0.29523790000000005,-4
194704020CLR,1947,Knicks,Rebels,A,1,51,77,L,0.4187088,-26
194704050NYK,1947,Knicks,Rebels,H,1,86,74,W,0.65507084,12
194704090NYK,1947,Knicks,Rebels,H,1,93,71,W,0.67398375,22
194704120GSW,1947,Knicks,Warriors,A,1,70,82,L,0.27740359,-12
194704140NYK,1947,Knicks,Warriors,H,1,53,72,L,0.53203541,-19
194711130BLB,1948,Celtics,Baltimore,A,0,74,85,L,0.21549326,-11
194711130NYK,1948,Knicks,Capitols,H,0,80,65,W,0.46279889,15
194711140BOS,1948,Celtics,Warriors,H,0,74,79,L,0.38717291,-5
194711150BOS,1948,Celtics,Capitols,H,0,73,69,W,0.37331918,4
194711150NYK,1948,Knicks,Bombers,H,0,73,67,W,0.61971831,6
194711180BOS,1948,Celtics,Bombers,H,0,50,65,L,0.5075599000000001,-15
194711180PRO,1948,Knicks,Steamrollers,A,0,87,69,W,0.43581218,18
194711190NYK,1948,Knicks,Stags,H,0,63,81,L,0.59676158,-18
194711200BLB,1948,Knicks,Baltimore,A,0,56,68,L,0.29753917,-12
194711200GSW,1948,Celtics,Warriors,A,0,67,57,W,0.15592438,10
194711210BOS,1948,Celtics,Baltimore,H,0,73,89,L,0.44916388,-16
194711220BOS,1948,Celtics,Steamrollers,H,0,65,62,W,0.61670661,3
194711220NYK,1948,Knicks,Warriors,H,0,78,83,L,0.53769147,-5
194711250BOS,1948,Knicks,Celtics,A,0,91,75,W,0.46318918,16
194711250BOS,1948,Celtics,Knicks,H,0,75,91,L,0.53681082,-16
194711260NYK,1948,Knicks,Celtics,H,0,63,65,L,0.76516193,-2
194711260NYK,1948,Celtics,Knicks,A,0,65,63,W,0.23483807,2
194711270GSW,1948,Knicks,Warriors,A,0,81,59,W,0.25894547,22
194711280BOS,1948,Celtics,Capitols,H,0,92,83,W,0.38612005,9
194712010NYK,1948,Knicks,Capitols,H,0,62,70,L,0.59605712,-8
194712020BOS,1948,Celtics,Baltimore,H,0,69,77,L,0.39789006,-8
194712050BOS,1948,Celtics,Steamrollers,H,0,73,69,W,0.64112777,4
194712060PRO,1948,Knicks,Steamrollers,A,0,114,85,W,0.50793183,29
194712080NYK,1948,Knicks,Bombers,H,0,71,56,W,0.61096859,15
194712100BOS,1948,Celtics,Knicks,H,0,75,79,L,0.46112344,-4
194712100BOS,1948,Knicks,Celtics,A,0,79,75,W,0.53887653,4
194712120BOS,1948,Celtics,Warriors,H,0,69,67,W,0.48753646,2
194712130BLB,1948,Knicks,Baltimore,A,0,80,66,W,0.32283622,14
194712150NYK,1948,Knicks,Warriors,H,0,71,74,L,0.70843905,-3
194712170BOS,1948,Celtics,Steamrollers,H,0,67,66,W,0.68533969,1
194712180GSW,1948,Knicks,Warriors,A,0,99,71,W,0.40914285,28
194712190BOS,1948,Celtics,Bombers,H,0,78,70,W,0.4333857,8
194712200NYK,1948,Celtics,Knicks,A,0,58,70,L,0.1856904,-12
194712200NYK,1948,Knicks,Celtics,H,0,70,58,W,0.8143096,12
194712230BOS,1948,Celtics,Stags,H,0,75,83,L,0.43782609999999994,-8
194712230PRO,1948,Knicks,Steamrollers,A,0,58,66,L,0.6636761999999999,-8
194712250NYK,1948,Knicks,Steamrollers,H,0,89,75,W,0.84261191,14
194712270BOS,1948,Celtics,Steamrollers,H,0,74,63,W,0.69616532,11
194712270NYK,1948,Knicks,Stags,H,0,70,79,L,0.65784693,-9
194712300BOS,1948,Celtics,Warriors,H,0,70,64,W,0.51902133,6
194801010STB,1948,Celtics,Bombers,A,0,48,58,L,0.22300553,-10
194801030NYK,1948,Knicks,Baltimore,H,0,70,79,L,0.67038107,-9
194801030WSC,1948,Celtics,Capitols,A,0,60,95,L,0.17950344,-35
194801070NYK,1948,Knicks,Stags,H,0,74,79,L,0.58586735,-5
194801100PRO,1948,Celtics,Steamrollers,A,0,57,70,L,0.45202166,-13
194801110BOS,1948,Celtics,Capitols,H,0,84,56,W,0.37515762,28
194801110CHS,1948,Knicks,Stags,A,0,86,99,L,0.27445889,-13
194801150STB,1948,Knicks,Bombers,A,0,59,55,W,0.31262009999999996,4
194801160BOS,1948,Celtics,Stags,H,0,75,61,W,0.39721686,14
194801170WSC,1948,Knicks,Capitols,A,0,62,78,L,0.31970292,-16
194801180CHS,1948,Celtics,Stags,A,0,48,72,L,0.20119083,-24
194801190NYK,1948,Knicks,Warriors,H,0,57,63,L,0.66404158,-6
194801220GSW,1948,Celtics,Warriors,A,0,61,54,W,0.24284112,7
194801230BOS,1948,Knicks,Celtics,A,0,74,58,W,0.44852972,16
194801230BOS,1948,Celtics,Knicks,H,0,58,74,L,0.55147028,-16
194801240NYK,1948,Knicks,Baltimore,H,0,58,72,L,0.63946903,-14
194801250STB,1948,Celtics,Bombers,A,0,54,72,L,0.23173463,-18
194801270BOS,1948,Celtics,Warriors,H,0,68,77,L,0.51539445,-9
194801280NYK,1948,Knicks,Steamrollers,H,0,75,73,W,0.82826281,2
194801290GSW,1948,Knicks,Warriors,A,0,66,60,W,0.34178841,6
194801300BOS,1948,Celtics,Steamrollers,H,0,69,79,L,0.7384969,-10
194801310NYK,1948,Celtics,Knicks,A,0,64,66,L,0.21515995,-2
194801310NYK,1948,Knicks,Celtics,H,0,66,64,W,0.78484005,2
194802030PRO,1948,Knicks,Steamrollers,A,0,78,62,W,0.60789275,16
194802040NYK,1948,Knicks,Steamrollers,H,0,108,69,W,0.84675777,39
194802060BOS,1948,Celtics,Knicks,H,0,57,68,L,0.43518719,-11
194802060BOS,1948,Knicks,Celtics,A,0,68,57,W,0.56481278,11
194802080NYK,1948,Celtics,Knicks,A,0,68,80,L,0.17968363,-12
194802080NYK,1948,Knicks,Celtics,H,0,80,68,W,0.82031637,12
194802110NYK,1948,Knicks,Steamrollers,H,0,86,63,W,0.87511945,23
194802120BLB,1948,Knicks,Baltimore,A,0,86,96,L,0.35476142,-10
194802120GSW,1948,Celtics,Warriors,A,0,60,69,L,0.21051264,-9
194802130BOS,1948,Celtics,Steamrollers,H,0,79,73,W,0.72410536,6
194802140NYK,1948,Knicks,Warriors,H,0,78,47,W,0.68426418,31
194802140WSC,1948,Celtics,Capitols,A,0,58,72,L,0.14005119,-14
194802180WSC,1948,Knicks,Capitols,A,0,79,75,W,0.31093776,4
194802190BOS,1948,Celtics,Baltimore,H,0,76,79,L,0.38433057,-3
194802190CHS,1948,Knicks,Stags,A,0,74,82,L,0.39420408,-8
194802220BOS,1948,Celtics,Stags,H,0,77,97,L,0.37699720000000003,-20
194802220STB,1948,Knicks,Bombers,A,0,71,80,L,0.37712067,-9
194802260STB,1948,Celtics,Bombers,A,0,92,94,L,0.1543684,-2
194802270CHS,1948,Celtics,Stags,A,0,83,69,W,0.14007294,14
194802280NYK,1948,Knicks,Baltimore,H,0,56,78,L,0.63316518,-22
194802290BOS,1948,Celtics,Baltimore,H,0,65,62,W,0.36611778,3
194803020GSW,1948,Knicks,Warriors,A,0,66,76,L,0.36371994,-10
194803040GSW,1948,Celtics,Warriors,A,0,62,82,L,0.2019909,-20
194803050BOS,1948,Celtics,Bombers,H,0,71,68,W,0.39884007,3
194803060BLB,1948,Celtics,Baltimore,A,0,68,81,L,0.16262132,-13
194803060NYK,1948,Knicks,Capitols,H,0,69,64,W,0.61245453,5
194803100NYK,1948,Knicks,Bombers,H,0,73,82,L,0.59926468,-9
194803130CHS,1948,Knicks,Stags,A,0,51,58,L,0.2788012,-7
194803130PRO,1948,Celtics,Steamrollers,A,0,86,64,W,0.48788637,22
194803160BOS,1948,Celtics,Capitols,H,0,62,76,L,0.47230643,-14
194803180CHS,1948,Celtics,Stags,A,0,77,72,W,0.16229796,5
194803180STB,1948,Knicks,Bombers,A,0,91,80,W,0.31497282,11
194803200WSC,1948,Knicks,Capitols,A,0,82,103,L,0.32106346,-21
194803270BLB,1948,Knicks,Baltimore,A,1,81,85,L,0.27520698,-4
194803280BOS,1948,Celtics,Stags,H,1,72,79,L,0.46298128,-7
194803280NYK,1948,Knicks,Baltimore,H,1,79,69,W,0.5368349,10
194803310BOS,1948,Celtics,Stags,H,1,81,77,W,0.44121823,4
194804010BLB,1948,Knicks,Baltimore,A,1,77,84,L,0.29003048,-7
194804020BOS,1948,Celtics,Stags,H,1,74,81,L,0.46205163,-7
194811030FTW,1949,Knicks,Pistons,A,0,80,76,W,0.29044098,4
194811040GSW,1949,Celtics,Warriors,A,0,73,94,L,0.21243238,-21
194811050INJ,1949,Knicks,Jets,A,0,87,71,W,0.46918911,16
194811070BOS,1949,Celtics,Warriors,H,0,85,77,W,0.43343505,8
194811090BOS,1949,Celtics,Lakers,H,0,77,55,W,0.39114109,22
194811090STB,1949,Knicks,Bombers,A,0,56,60,L,0.40323639,-4
194811110NYK,1949,Knicks,Lakers,H,0,68,77,L,0.56713724,-9
194811120BOS,1949,Celtics,Pistons,H,0,84,75,W,0.52914453,9
194811130NYK,1949,Knicks,Baltimore,H,0,91,87,W,0.59167737,4
194811130ROC,1949,Celtics,Kings,A,0,63,95,L,0.19079453,-32
194811160ROC,1949,Knicks,Kings,A,0,63,75,L,0.23547804,-12
194811160STB,1949,Celtics,Bombers,A,0,74,79,L,0.28761529999999996,-5
194811170LAL,1949,Celtics,Lakers,A,0,74,72,W,0.19709808,2
194811170NYK,1949,Knicks,Capitols,H,0,62,73,L,0.56080568,-11
194811180BLB,1949,Knicks,Baltimore,A,0,67,55,W,0.30479956,12
194811190BOS,1949,Celtics,Jets,H,0,75,70,W,0.71372169,5
194811200NYK,1949,Knicks,Warriors,H,0,91,86,W,0.60952842,5
194811200WSC,1949,Celtics,Capitols,A,0,75,90,L,0.21394134,-15
194811230BOS,1949,Celtics,Capitols,H,0,68,71,L,0.43605581,-3
194811250INJ,1949,Celtics,Jets,A,0,66,81,L,0.43685383,-15
194811270NYK,1949,Knicks,Pistons,H,0,80,70,W,0.63669121,10
194811280FTW,1949,Celtics,Pistons,A,0,74,80,L,0.25868005,-6
194811300BOS,1949,Celtics,Lakers,H,0,84,94,L,0.37543702,-10
194811300PRO,1949,Knicks,Steamrollers,A,0,88,61,W,0.70978862,27
194812010NYK,1949,Knicks,Kings,H,0,72,73,L,0.50997746,-1
194812020GSW,1949,Celtics,Warriors,A,0,88,87,W,0.26893783,1
194812040NYK,1949,Knicks,Jets,H,0,66,63,W,0.81138194,3
194812040PRO,1949,Celtics,Steamrollers,A,0,70,63,W,0.6007545,7
194812060BOS,1949,Celtics,Kings,H,0,79,87,L,0.35777470000000006,-8
194812080NYK,1949,Knicks,Steamrollers,H,0,83,74,W,0.89436513,9
194812090PRO,1949,Knicks,Steamrollers,A,0,74,63,W,0.73166549,11
194812110NYK,1949,Knicks,Baltimore,H,0,72,71,W,0.63675642,1
194812120FTW,1949,Knicks,Pistons,A,0,89,78,W,0.39652222,11
194812130BOS,1949,Celtics,Bombers,H,0,83,79,W,0.5538407,4
194812130INJ,1949,Knicks,Jets,A,0,80,74,W,0.58378303,6
194812170BOS,1949,Celtics,Baltimore,H,0,63,74,L,0.51118463,-11
194812170GSW,1949,Knicks,Warriors,A,0,78,87,L,0.47708243,-9
194812180NYK,1949,Knicks,Bombers,H,0,88,79,W,0.72567266,9
194812180WSC,1949,Celtics,Capitols,A,0,60,69,L,0.1572085,-9
194812190BOS,1949,Celtics,Knicks,H,0,77,75,W,0.44326574,2
194812190BOS,1949,Knicks,Celtics,A,0,75,77,L,0.55673426,-2
194812220NYK,1949,Knicks,Lakers,H,0,97,79,W,0.54223251,18
194812250NYK,1949,Knicks,Stags,H,0,64,70,L,0.68361682,-6
194812250GSW,1949,Celtics,Warriors,A,0,77,80,L,0.26449734,-3
194812260CHS,1949,Celtics,Stags,A,0,73,84,L,0.2172215,-11
194812280BOS,1949,Celtics,Stags,H,0,74,76,L,0.45576912,-2
194812290NYK,1949,Knicks,Kings,H,0,77,74,W,0.5457918,3
194812310BOS,1949,Celtics,Steamrollers,H,0,69,67,W,0.8137489,2
194901010BLB,1949,Celtics,Baltimore,A,0,67,72,L,0.22728276,-5
194901010NYK,1949,Knicks,Warriors,H,0,88,80,W,0.70687717,8
194901020CHS,1949,Knicks,Stags,A,0,79,81,L,0.37200725,-2
194901020FTW,1949,Celtics,Pistons,A,0,90,69,W,0.26359314,21
194901040BOS,1949,Celtics,Baltimore,H,0,75,69,W,0.51592326,6
194901040INJ,1949,Knicks,Jets,A,0,58,63,L,0.61177117,-5
194901070BOS,1949,Celtics,Knicks,H,0,67,69,L,0.49558738,-2
194901070BOS,1949,Knicks,Celtics,A,0,69,67,W,0.50441265,2
194901080NYK,1949,Knicks,Baltimore,H,0,81,83,L,0.64149922,-2
194901080PRO,1949,Celtics,Steamrollers,A,0,69,87,L,0.64074445,-18
194901100BOS,1949,Celtics,Capitols,H,0,83,94,L,0.40684357,-11
194901120NYK,1949,Celtics,Knicks,A,0,64,81,L,0.20484132,-17
194901120NYK,1949,Knicks,Celtics,H,0,81,64,W,0.79515868,17
194901140BOS,1949,Celtics,Warriors,H,0,79,104,L,0.54875588,-25
194901150BOS,1949,Celtics,Stags,H,0,86,94,L,0.36399826,-8
194901150WSC,1949,Knicks,Capitols,A,0,73,75,L,0.31878299,-2
194901170NYK,1949,Knicks,Bombers,H,0,71,79,L,0.76716238,-8
194901180BOS,1949,Celtics,Bombers,H,0,83,89,L,0.52838689,-6
194901200BLB,1949,Knicks,Baltimore,A,0,68,82,L,0.34376454,-14
194901210BOS,1949,Celtics,Stags,H,0,76,86,L,0.36448365,-10
194901220ROC,1949,Knicks,Kings,A,0,98,103,L,0.21159834,-5
194901220WSC,1949,Celtics,Capitols,A,0,64,95,L,0.14031625,-31
194901230NYK,1949,Knicks,Capitols,H,0,93,97,L,0.55556911,-4
194901250BOS,1949,Celtics,Steamrollers,H,0,54,69,L,0.76443589,-15
194901260NYK,1949,Knicks,Steamrollers,H,0,89,77,W,0.87392372,12
194901270GSW,1949,Knicks,Warriors,A,0,96,102,L,0.35379595,-6
194901280BOS,1949,Celtics,Capitols,H,0,91,90,W,0.29863715,1
194901290NYK,1949,Knicks,Warriors,H,0,73,78,L,0.62028766,-5
194901290PRO,1949,Celtics,Steamrollers,A,0,85,91,L,0.42039216,-6
194902010BOS,1949,Celtics,Kings,H,0,68,76,L,0.2130505,-8
194902030BLB,1949,Celtics,Baltimore,A,0,76,84,L,0.14563316,-8
194902040BOS,1949,Celtics,Jets,H,0,75,64,W,0.50068796,11
194902050WSC,1949,Knicks,Capitols,A,0,83,73,W,0.27290201,10
194902060NYK,1949,Knicks,Stags,H,0,75,87,L,0.57126796,-12
194902070BOS,1949,Celtics,Baltimore,H,0,95,83,W,0.35347697,12
194902090STB,1949,Knicks,Bombers,A,0,95,83,W,0.47248942,12
194902100LAL,1949,Knicks,Lakers,A,0,75,95,L,0.19978142,-20
194902110BOS,1949,Celtics,Steamrollers,H,0,94,77,W,0.69926089,17
194902120NYK,1949,Knicks,Pistons,H,0,85,58,W,0.71727806,27
194902130FTW,1949,Knicks,Pistons,A,0,73,82,L,0.474145,-9
194902150NYK,1949,Knicks,Bombers,H,0,79,75,W,0.75685573,4
194902170GSW,1949,Knicks,Warriors,A,0,82,86,L,0.33680832,-4
194902180BOS,1949,Celtics,Lakers,H,0,71,85,L,0.23527355,-14
194902190NYK,1949,Celtics,Knicks,A,0,87,77,W,0.18774223,10
194902190NYK,1949,Knicks,Celtics,H,0,77,87,L,0.81225777,-10
194902220INJ,1949,Celtics,Jets,A,0,68,74,L,0.34503096,-6
194902220NYK,1949,Knicks,Lakers,H,0,74,101,L,0.37865171,-27
194902230STB,1949,Celtics,Bombers,A,0,83,77,W,0.28949106,6
194902240PRO,1949,Knicks,Steamrollers,A,0,84,89,L,0.58347178,-5
194902250BOS,1949,Celtics,Bombers,H,0,102,83,W,0.59820211,19
194902260NYK,1949,Knicks,Jets,H,0,81,76,W,0.73013508,5
194902260ROC,1949,Celtics,Kings,A,0,59,64,L,0.093317509,-5
194903020NYK,1949,Knicks,Stags,H,0,81,79,W,0.47867811,2
194903030NYK,1949,Knicks,Steamrollers,H,0,86,65,W,0.81342918,21
194903040BOS,1949,Celtics,Pistons,H,0,76,70,W,0.5334484,6
194903050NYK,1949,Knicks,Celtics,H,0,66,61,W,0.73481774,5
194903050NYK,1949,Celtics,Knicks,A,0,61,66,L,0.26518226,-5
194903070INJ,1949,Celtics,Jets,A,0,107,86,W,0.3567701,21
194903080BOS,1949,Celtics,Pistons,H,0,63,60,W,0.59202081,3
194903090LAL,1949,Celtics,Lakers,A,0,67,74,L,0.12401116,-7
194903090NYK,1949,Knicks,Capitols,H,0,90,74,W,0.59650552,16
194903100BLB,1949,Knicks,Baltimore,A,0,99,94,W,0.36020315,5
194903110BOS,1949,Celtics,Warriors,H,0,108,100,W,0.51450038,8
194903120BLB,1949,Celtics,Baltimore,A,0,77,89,L,0.29760671,-12
194903120CHS,1949,Knicks,Stags,A,0,85,80,W,0.26081038,5
194903130LAL,1949,Knicks,Lakers,A,0,90,100,L,0.20131284,-10
194903150BOS,1949,Celtics,Kings,H,0,86,83,W,0.26060477,3
194903160BOS,1949,Celtics,Stags,H,0,82,107,L,0.45962143,-25
194903160NYK,1949,Knicks,Kings,H,0,89,94,L,0.37641248,-5
194903180BOS,1949,Celtics,Knicks,H,0,70,56,W,0.51954389,14
194903180BOS,1949,Knicks,Celtics,A,0,56,70,L,0.48045611,-14
194903190WSC,1949,Knicks,Capitols,A,0,82,70,W,0.32045102,12
194903230BLB,1949,Knicks,Baltimore,A,1,81,82,L,0.34727246,-1
194903240NYK,1949,Knicks,Baltimore,H,1,84,74,W,0.62023091,10
194903260NYK,1949,Knicks,Baltimore,H,1,103,99,W,0.64002728,4
194903290WSC,1949,Knicks,Capitols,A,1,71,77,L,0.34199809999999997,-6
194903310NYK,1949,Knicks,Capitols,H,1,86,84,W,0.60851449,2
194904020WSC,1949,Knicks,Capitols,A,1,76,84,L,0.33868039,-8
194911010CHS,1950,Knicks,Stags,A,0,89,87,W,0.28980899,2
194911020WAT,1950,Knicks,Waterloo,A,0,68,60,W,0.49816072,8
194911030FTW,1950,Knicks,Pistons,A,0,72,87,L,0.46656066,-15
194911030SHE,1950,Celtics,Redskins,A,0,83,98,L,0.37772566,-15
194911050CHS,1950,Celtics,Stags,A,0,70,86,L,0.22118676,-16
