,No.,Title,Author,Year,Language,Birth Date,Ages
78,79,Ficciones,Jorge Luis Borges,1944,Spanish,24 August 1899,45
79,80,Moravagine,Blaise Cendrars,1926,French,1 September 1887,39
80,81,The General of the Dead Army,Ismail Kadare,1963,Albanian,28 January 1936,27
81,82,Sophie's Choice,William Styron,1979,English,11 June 1925,54
82,83,Gypsy Ballads,Federico Garca Lorca,1928,Spanish,5 June 1898,30
83,84,The Strange Case of Peter the Lett,Georges Simenon,1931,French,13 February 1903,28
84,85,Our Lady of the Flowers,Jean Genet,1944,French,19 December 1910,34
85,86,The Man Without Qualities,Robert Musil,1942,German,6 November 1880,62
86,87,Furor and Mystery,Ren Char,1948,French,14 June 1907,41
87,88,The Catcher in the Rye,J. D. Salinger,1951,English,1 January 1919,32
88,89,No Orchids For Miss Blandish,James Hadley Chase,1939,English,24 December 1906,33
89,90,Blake and Mortimer,Edgar P. Jacobs,1950,French,30 March 1904,46
90,91,The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,1910,German,4 December 1875,35
91,92,Second Thoughts,Michel Butor,1957,French,14 September 1926,31
92,93,The Origins of TotalitarianismThe Burden of Our Time,Hannah Arendt,1951,English,14 October 1906,45
93,94,The Master and Margarita,Mikhail Bulgakov,1967,Russian,15 May 1891,76
94,95,The Rosy Crucifixion,Henry Miller,1960,English,26 December 1891,69
95,96,The Big Sleep,Raymond Chandler,1939,English,23 July 1888,51
96,97,Amers,Saint-John Perse,1957,French,31 May 1887,70
97,98,GastonGomer Goof,Andr Franquin,1957,French,3 January 1924,33
98,99,Under the Volcano,Malcolm Lowry,1947,English,28 July 1909,38
99,100,Midnight's Children,Salman Rushdie,1981,English,19 June 1947 ,34
