hotel,reservation_status,arrival date,arrival day of week,number of special requests
Resort Hotel,Check-Out,9/16/15,Wed,3
City Hotel,Canceled,3/22/16,Tue,0
City Hotel,Check-Out,12/14/15,Mon,0
City Hotel,Check-Out,10/9/15,Fri,0
Resort Hotel,Check-Out,11/26/16,Sat,1
City Hotel,No-Show,2/25/17,Sat,0
City Hotel,Check-Out,8/25/17,Fri,3
City Hotel,Canceled,7/28/15,Tue,0
City Hotel,Check-Out,7/4/17,Tue,1
City Hotel,Check-Out,10/12/15,Mon,0
City Hotel,Canceled,12/7/16,Wed,3
Resort Hotel,Check-Out,7/2/17,Sun,1
Resort Hotel,Check-Out,4/29/16,Fri,1
City Hotel,Canceled,6/30/16,Thu,0
Resort Hotel,Check-Out,7/13/17,Thu,1
City Hotel,Canceled,7/25/15,Sat,0
Resort Hotel,Check-Out,7/2/15,Thu,0
Resort Hotel,Check-Out,7/7/15,Tue,0
City Hotel,Canceled,8/8/15,Sat,2
City Hotel,,9/4/16,Sun,1
City Hotel,Check-Out,7/20/17,Thu,1
City Hotel,Check-Out,7/6/17,Thu,1
City Hotel,Canceled,4/15/17,Sat,1
Resort Hotel,Check-Out,10/5/15,Mon,0
City Hotel,Canceled,3/8/17,Wed,0
City Hotel,Check-Out,12/26/16,Mon,0
City Hotel,Check-Out,7/10/16,Sun,0
Resort Hotel,Canceled,8/16/16,Tue,1
Resort Hotel,Canceled,8/27/16,Sat,1
Resort Hotel,Canceled,8/6/17,Sun,3
Resort Hotel,Check-Out,7/18/15,Sat,0
Resort Hotel,Check-Out,12/19/15,Sat,0
City Hotel,Canceled,7/20/15,Mon,0
City Hotel,Check-Out,5/27/17,Sat,0
City Hotel,Check-Out,3/2/16,Wed,1
City Hotel,Canceled,8/14/15,Fri,2
Resort Hotel,Canceled,3/27/17,Mon,0
Resort Hotel,Check-Out,9/3/15,Thu,0
City Hotel,Canceled,8/15/15,Sat,0
Resort Hotel,Check-Out,5/13/17,Sat,1
Resort Hotel,Check-Out,8/18/16,Thu,0
City Hotel,Check-Out,8/29/16,Mon,0
City Hotel,Check-Out,7/28/16,Thu,0
Resort Hotel,Check-Out,9/14/15,Mon,2
City Hotel,Check-Out,7/23/16,Sat,0
City Hotel,Check-Out,6/14/17,Wed,0
Resort Hotel,Canceled,4/28/16,Thu,0
Resort Hotel,Check-Out,8/28/17,Mon,0
City Hotel,Canceled,6/16/17,Fri,1
City Hotel,,9/15/16,Thu,1
Resort Hotel,Canceled,9/2/15,Wed,2
City Hotel,Check-Out,2/28/17,Tue,1
City Hotel,Canceled,3/20/17,Mon,0
City Hotel,Canceled,7/27/15,Mon,0
Resort Hotel,Check-Out,6/30/16,Thu,1
City Hotel,Check-Out,4/6/16,Wed,1
City Hotel,Check-Out,12/29/16,Thu,0
City Hotel,Check-Out,11/29/16,Tue,0
Resort Hotel,Check-Out,8/27/17,Sun,2
Resort Hotel,Check-Out,3/18/17,Sat,0
City Hotel,Canceled,2/4/17,Sat,1
Resort Hotel,Check-Out,5/21/17,Sun,0
Resort Hotel,Check-Out,5/12/16,Thu,0
Resort Hotel,Canceled,8/19/15,Wed,0
City Hotel,Canceled,8/9/16,Tue,3
City Hotel,Check-Out,4/24/17,Mon,0
City Hotel,Canceled,10/16/16,Sun,1
City Hotel,Canceled,7/5/17,Wed,2
City Hotel,Check-Out,4/15/17,Sat,0
Resort Hotel,Check-Out,3/8/17,Wed,2
Resort Hotel,Check-Out,4/30/16,Sat,0
Resort Hotel,Check-Out,6/3/17,Sat,0
Resort Hotel,Check-Out,8/18/15,Tue,0
City Hotel,Canceled,4/7/16,Thu,0
Resort Hotel,Check-Out,2/18/16,Thu,3
Resort Hotel,Canceled,7/18/16,Mon,0
City Hotel,Canceled,3/14/17,Tue,1
City Hotel,Check-Out,6/11/17,Sun,0
City Hotel,Check-Out,8/25/15,Tue,0
Resort Hotel,Canceled,8/6/15,Thu,0
City Hotel,Check-Out,3/31/16,Thu,0
Resort Hotel,Check-Out,8/31/15,Mon,1
City Hotel,Check-Out,8/12/15,Wed,0
City Hotel,Check-Out,1/7/16,Thu,1
Resort Hotel,Check-Out,5/24/17,Wed,2
City Hotel,Check-Out,10/6/15,Tue,0
City Hotel,Check-Out,6/24/16,Fri,0
City Hotel,Check-Out,9/9/15,Wed,2
City Hotel,Canceled,10/13/16,Thu,2
City Hotel,Check-Out,12/5/15,Sat,0
Resort Hotel,Check-Out,7/22/15,Wed,1
Resort Hotel,Check-Out,7/17/17,Mon,1
City Hotel,,9/19/16,Mon,0
Resort Hotel,Canceled,9/16/15,Wed,0
City Hotel,Canceled,10/11/15,Sun,0
Resort Hotel,Check-Out,8/25/17,Fri,0
City Hotel,Canceled,8/3/16,Wed,0
City Hotel,Check-Out,3/2/16,Wed,0
City Hotel,Check-Out,7/5/17,Wed,0
City Hotel,Canceled,5/8/17,Mon,0
City Hotel,Canceled,2/16/17,Thu,1
Resort Hotel,Check-Out,1/26/16,Tue,0
City Hotel,Check-Out,7/10/17,Mon,0
City Hotel,Canceled,5/2/17,Tue,0
City Hotel,Canceled,8/2/17,Wed,0
Resort Hotel,Check-Out,2/21/17,Tue,0
Resort Hotel,Check-Out,4/9/16,Sat,1
City Hotel,Canceled,10/14/15,Wed,0
Resort Hotel,Check-Out,5/8/17,Mon,0
City Hotel,Canceled,8/17/16,Wed,1
Resort Hotel,Canceled,9/10/15,Thu,1
Resort Hotel,Check-Out,4/29/16,Fri,0
Resort Hotel,Check-Out,2/22/16,Mon,2
City Hotel,Check-Out,5/2/16,Mon,2
City Hotel,,9/21/16,Wed,2
City Hotel,Check-Out,5/8/17,Mon,1
City Hotel,Canceled,4/15/17,Sat,1
City Hotel,Canceled,5/6/17,Sat,2
City Hotel,,9/2/16,Fri,1
Resort Hotel,Canceled,7/19/17,Wed,0
Resort Hotel,Check-Out,7/27/15,Mon,0
City Hotel,Check-Out,6/19/16,Sun,0
City Hotel,Canceled,10/18/16,Tue,2
City Hotel,Canceled,6/11/17,Sun,0
City Hotel,Check-Out,10/18/15,Sun,0
Resort Hotel,Check-Out,10/19/15,Mon,0
City Hotel,Canceled,7/28/17,Fri,2
City Hotel,Check-Out,7/8/17,Sat,1
City Hotel,Canceled,10/17/16,Mon,0
Resort Hotel,Check-Out,3/25/17,Sat,0
Resort Hotel,Canceled,8/5/17,Sat,0
Resort Hotel,Canceled,8/28/17,Mon,0
City Hotel,Check-Out,10/8/15,Thu,0
City Hotel,Check-Out,8/21/15,Fri,1
City Hotel,Check-Out,5/9/16,Mon,1
Resort Hotel,Check-Out,7/31/16,Sun,0
City Hotel,Canceled,6/9/17,Fri,0
City Hotel,Canceled,7/4/16,Mon,0
City Hotel,Canceled,3/18/17,Sat,0
Resort Hotel,Canceled,10/6/15,Tue,2
City Hotel,Canceled,4/23/17,Sun,1
Resort Hotel,Check-Out,1/16/16,Sat,0
City Hotel,Check-Out,11/10/15,Tue,0
City Hotel,Check-Out,12/2/15,Wed,0
City Hotel,Check-Out,1/19/16,Tue,0
City Hotel,Canceled,6/14/16,Tue,2
City Hotel,Check-Out,8/22/16,Mon,0
City Hotel,Check-Out,3/27/16,Sun,0
City Hotel,Canceled,4/26/17,Wed,0
City Hotel,Check-Out,7/16/17,Sun,0
City Hotel,Check-Out,8/28/16,Sun,0
Resort Hotel,Check-Out,7/17/16,Sun,1
Resort Hotel,Check-Out,4/8/16,Fri,1
City Hotel,Canceled,7/8/15,Wed,0
Resort Hotel,Canceled,12/3/16,Sat,1
City Hotel,Canceled,7/3/17,Mon,1
City Hotel,Canceled,6/1/17,Thu,0
City Hotel,Check-Out,3/26/17,Sun,0
Resort Hotel,Check-Out,7/16/17,Sun,0
City Hotel,Canceled,12/1/16,Thu,0
City Hotel,Check-Out,3/23/17,Thu,0
City Hotel,Canceled,4/29/17,Sat,0
City Hotel,Canceled,5/27/16,Fri,1
City Hotel,Check-Out,7/6/17,Thu,1
Resort Hotel,Check-Out,7/31/16,Sun,0
City Hotel,Canceled,8/30/17,Wed,1
Resort Hotel,Check-Out,5/25/17,Thu,0
City Hotel,Check-Out,12/7/16,Wed,1
Resort Hotel,Check-Out,5/11/16,Wed,0
City Hotel,Check-Out,2/24/17,Fri,0
Resort Hotel,Check-Out,6/2/17,Fri,1
City Hotel,,9/28/16,Wed,1
City Hotel,,9/19/16,Mon,1
City Hotel,,9/28/16,Wed,0
City Hotel,Check-Out,11/19/15,Thu,2
City Hotel,Canceled,4/19/17,Wed,0
City Hotel,Canceled,1/18/17,Wed,2
Resort Hotel,Check-Out,10/15/15,Thu,2
Resort Hotel,Check-Out,3/20/17,Mon,0
City Hotel,Canceled,12/9/15,Wed,1
Resort Hotel,Check-Out,1/29/17,Sun,4
City Hotel,Check-Out,2/28/16,Sun,0
City Hotel,Check-Out,6/6/16,Mon,1
Resort Hotel,Canceled,2/26/16,Fri,0
City Hotel,Canceled,8/4/17,Fri,0
Resort Hotel,Check-Out,6/30/17,Fri,0
Resort Hotel,Check-Out,8/9/15,Sun,0
City Hotel,Check-Out,7/19/16,Tue,0
Resort Hotel,Check-Out,8/5/15,Wed,0
City Hotel,Check-Out,8/20/16,Sat,0
Resort Hotel,Check-Out,5/29/17,Mon,1
Resort Hotel,Canceled,3/27/16,Sun,0
Resort Hotel,Canceled,11/20/15,Fri,1
City Hotel,Check-Out,3/9/17,Thu,1
City Hotel,Canceled,4/6/17,Thu,1
City Hotel,No-Show,6/14/16,Tue,0
City Hotel,Canceled,10/16/15,Fri,0
Resort Hotel,Check-Out,7/2/17,Sun,1
Resort Hotel,Check-Out,11/23/15,Mon,0
Resort Hotel,Check-Out,8/13/16,Sat,0
City Hotel,Check-Out,3/11/17,Sat,1
City Hotel,Check-Out,1/25/16,Mon,0
City Hotel,,9/14/16,Wed,1
City Hotel,,9/13/16,Tue,0
City Hotel,Check-Out,5/4/17,Thu,0
City Hotel,Check-Out,3/16/16,Wed,0
City Hotel,Check-Out,12/20/15,Sun,0
Resort Hotel,Check-Out,4/22/16,Fri,0
Resort Hotel,Canceled,8/8/16,Mon,1
Resort Hotel,Check-Out,9/22/15,Tue,0
City Hotel,Check-Out,8/19/16,Fri,0
Resort Hotel,Canceled,12/23/16,Fri,0
Resort Hotel,Check-Out,10/3/16,Mon,0
City Hotel,Check-Out,2/19/17,Sun,1
Resort Hotel,Canceled,12/29/15,Tue,0
Resort Hotel,Canceled,8/28/16,Sun,1
Resort Hotel,Canceled,9/24/15,Thu,0
Resort Hotel,Canceled,3/28/17,Tue,0
Resort Hotel,Canceled,7/10/17,Mon,1
City Hotel,Check-Out,7/1/16,Fri,1
City Hotel,Canceled,4/6/17,Thu,1
City Hotel,Check-Out,2/7/16,Sun,1
City Hotel,Check-Out,11/7/16,Mon,0
Resort Hotel,Check-Out,3/1/17,Wed,0
City Hotel,Check-Out,1/14/17,Sat,1
City Hotel,Check-Out,2/29/16,Mon,0
Resort Hotel,Check-Out,8/1/17,Tue,1
City Hotel,Check-Out,9/13/15,Sun,1
City Hotel,Check-Out,4/28/17,Fri,0
City Hotel,Check-Out,6/22/17,Thu,1
City Hotel,Canceled,3/22/16,Tue,1
City Hotel,Check-Out,5/5/17,Fri,1
City Hotel,Check-Out,4/14/16,Thu,0
City Hotel,Check-Out,7/6/16,Wed,0
City Hotel,Check-Out,8/7/16,Sun,0
City Hotel,Canceled,11/4/15,Wed,0
City Hotel,Check-Out,6/16/17,Fri,1
City Hotel,Check-Out,7/24/16,Sun,0
City Hotel,Check-Out,5/2/17,Tue,1
Resort Hotel,Check-Out,9/29/15,Tue,0
City Hotel,,9/11/16,Sun,2
Resort Hotel,Check-Out,5/8/17,Mon,0
City Hotel,Check-Out,5/7/17,Sun,0
Resort Hotel,Check-Out,8/8/16,Mon,0
City Hotel,Check-Out,5/20/17,Sat,0
City Hotel,,9/29/16,Thu,0
City Hotel,Check-Out,5/2/17,Tue,0
City Hotel,Check-Out,5/11/17,Thu,1
City Hotel,Canceled,9/5/15,Sat,0
City Hotel,Check-Out,10/18/16,Tue,0
City Hotel,Canceled,2/1/17,Wed,2
City Hotel,Check-Out,7/27/16,Wed,1
City Hotel,Check-Out,10/17/16,Mon,0
Resort Hotel,Check-Out,10/5/15,Mon,0
Resort Hotel,Check-Out,5/2/16,Mon,0
City Hotel,Canceled,5/5/16,Thu,0
City Hotel,Check-Out,11/18/15,Wed,2
City Hotel,Canceled,8/15/15,Sat,1
Resort Hotel,Check-Out,4/9/16,Sat,0
City Hotel,Check-Out,7/5/17,Wed,0
City Hotel,Canceled,9/25/15,Fri,0
Resort Hotel,Canceled,10/16/15,Fri,0
City Hotel,Canceled,3/20/16,Sun,0
City Hotel,Check-Out,10/2/15,Fri,2
City Hotel,Canceled,4/24/16,Sun,0
City Hotel,Check-Out,6/29/17,Thu,1
City Hotel,Canceled,7/26/17,Wed,1
City Hotel,,9/29/16,Thu,0
Resort Hotel,Check-Out,4/9/16,Sat,0
City Hotel,Check-Out,8/1/15,Sat,0
City Hotel,Check-Out,7/15/17,Sat,0
City Hotel,Check-Out,9/2/15,Wed,0
City Hotel,Canceled,12/28/16,Wed,0
Resort Hotel,Canceled,8/19/17,Sat,1
Resort Hotel,Check-Out,10/7/15,Wed,0
Resort Hotel,,9/8/16,Thu,1
Resort Hotel,Check-Out,3/10/17,Fri,0
City Hotel,Check-Out,6/28/16,Tue,0
City Hotel,Check-Out,5/2/16,Mon,0
Resort Hotel,Check-Out,7/18/17,Tue,1
City Hotel,Check-Out,12/28/16,Wed,0
City Hotel,,9/10/16,Sat,1
City Hotel,Check-Out,3/29/16,Tue,0
Resort Hotel,Canceled,7/1/17,Sat,0
City Hotel,Canceled,10/13/16,Thu,0
City Hotel,Canceled,1/23/17,Mon,0
City Hotel,No-Show,2/25/17,Sat,0
City Hotel,Canceled,8/27/16,Sat,0
City Hotel,Canceled,5/18/17,Thu,0
Resort Hotel,Check-Out,11/7/15,Sat,0
City Hotel,Check-Out,5/12/16,Thu,0
Resort Hotel,Check-Out,10/2/15,Fri,2
City Hotel,Check-Out,8/9/17,Wed,2
Resort Hotel,Check-Out,11/8/16,Tue,0
City Hotel,Canceled,7/4/17,Tue,1
City Hotel,,9/21/16,Wed,1
City Hotel,Canceled,5/5/17,Fri,0
Resort Hotel,Check-Out,8/16/15,Sun,1
City Hotel,,9/13/16,Tue,1
City Hotel,Canceled,5/5/17,Fri,2
Resort Hotel,Check-Out,9/24/15,Thu,2
City Hotel,Check-Out,4/14/16,Thu,0
Resort Hotel,Check-Out,5/3/16,Tue,2
Resort Hotel,Check-Out,5/16/16,Mon,0
City Hotel,Canceled,6/23/16,Thu,1
City Hotel,Check-Out,5/21/17,Sun,0
City Hotel,Check-Out,12/7/16,Wed,1
Resort Hotel,Check-Out,8/7/17,Mon,0
Resort Hotel,Check-Out,12/3/16,Sat,0
Resort Hotel,Canceled,4/26/16,Tue,0
City Hotel,Canceled,3/20/16,Sun,0
Resort Hotel,Check-Out,4/8/16,Fri,1
City Hotel,Check-Out,11/11/15,Wed,0
City Hotel,Canceled,1/20/16,Wed,1
City Hotel,Check-Out,6/26/16,Sun,1
Resort Hotel,Canceled,3/5/17,Sun,0
City Hotel,Canceled,5/26/16,Thu,0
City Hotel,Canceled,7/26/16,Tue,1
City Hotel,Canceled,9/24/15,Thu,1
Resort Hotel,Canceled,2/20/17,Mon,1
Resort Hotel,Check-Out,10/27/16,Thu,0
City Hotel,No-Show,2/26/16,Fri,0
Resort Hotel,Check-Out,6/4/17,Sun,0
Resort Hotel,Canceled,8/6/17,Sun,1
Resort Hotel,Check-Out,6/26/16,Sun,2
City Hotel,Canceled,7/12/17,Wed,0
City Hotel,Check-Out,3/9/16,Wed,1
City Hotel,Check-Out,10/10/16,Mon,1
City Hotel,Check-Out,7/12/16,Tue,0
City Hotel,Check-Out,1/5/17,Thu,1
City Hotel,Check-Out,2/25/17,Sat,0
City Hotel,Canceled,5/30/17,Tue,0
City Hotel,Canceled,9/11/15,Fri,0
Resort Hotel,Canceled,3/26/17,Sun,1
City Hotel,Check-Out,1/22/17,Sun,2
City Hotel,Check-Out,8/20/16,Sat,0
City Hotel,Check-Out,3/13/17,Mon,1
Resort Hotel,Check-Out,2/7/17,Tue,1
City Hotel,Check-Out,1/8/16,Fri,0
City Hotel,Check-Out,12/24/16,Sat,0
Resort Hotel,Canceled,7/13/16,Wed,1
City Hotel,Check-Out,5/13/17,Sat,1
City Hotel,Check-Out,8/7/17,Mon,0
City Hotel,Canceled,8/10/17,Thu,1
City Hotel,Check-Out,4/1/17,Sat,0
City Hotel,Check-Out,1/19/16,Tue,0
Resort Hotel,Check-Out,4/15/16,Fri,1
City Hotel,Check-Out,5/19/17,Fri,1
City Hotel,Check-Out,7/31/17,Mon,2
City Hotel,Canceled,8/16/16,Tue,0
Resort Hotel,Check-Out,10/20/16,Thu,0
City Hotel,Canceled,5/26/17,Fri,2
Resort Hotel,Check-Out,10/26/16,Wed,1
City Hotel,Check-Out,11/17/16,Thu,3
Resort Hotel,Check-Out,12/16/16,Fri,0
City Hotel,Check-Out,1/21/16,Thu,0
Resort Hotel,Canceled,8/13/17,Sun,0
Resort Hotel,Canceled,11/26/16,Sat,0
City Hotel,Check-Out,12/10/15,Thu,0
City Hotel,Check-Out,5/14/16,Sat,0
City Hotel,Canceled,7/18/15,Sat,0
Resort Hotel,Canceled,5/14/17,Sun,0
City Hotel,Canceled,9/18/15,Fri,0
Resort Hotel,Canceled,12/17/16,Sat,0
City Hotel,Check-Out,8/19/15,Wed,1
City Hotel,Canceled,9/9/15,Wed,0
