price,type,sqfeet,beds,baths,lat,long
992,apartment,396,0,1.0,30.235,-97.7896
902,apartment,700,1,1.0,29.573,-95.1064
2360,apartment,1047,2,2.0,30.2608,-97.8104
860,apartment,566,1,1.0,31.889,-102.355
1023,apartment,670,1,1.0,29.5719,-95.0371
875,apartment,950,2,2.0,29.3309,-98.5054
1863,apartment,1501,3,2.5,30.395,-97.8332
925,apartment,775,1,1.0,33.0051,-96.8438
1219,apartment,1052,2,2.0,27.5663,-99.4994
1425,apartment,1004,2,2.0,29.8634,-98.0037
795,apartment,652,1,1.0,27.6758,-97.3475
1325,apartment,1037,2,2.0,30.638,-96.294
670,apartment,650,2,1.0,31.7089,-106.329
1129,apartment,1047,2,1.5,29.7229,-98.0742
349,apartment,275,0,1.0,33.5865,-101.861
688,apartment,778,2,1.0,31.5789,-106.266
1100,house,2000,3,2.0,26.2044,-98.1537
875,apartment,847,1,1.0,29.9691,-95.5579
615,apartment,522,1,1.0,31.8552,-106.435
1015,apartment,1088,2,2.0,31.5175,-97.1547
1095,apartment,1370,3,3.0,33.607,-101.928
1015,apartment,862,2,2.0,29.8754,-97.9404
509,apartment,700,2,2.0,34.9829,-101.902
1400,apartment,1019,2,1.0,33.1951,-96.6642
1490,apartment,1323,2,2.0,32.9503,-96.819
934,apartment,751,1,1.0,28.809,-96.9993
615,apartment,364,0,1.0,35.1653,-101.884
850,apartment,645,1,1.0,29.8754,-97.9404
700,apartment,746,2,1.0,31.8552,-106.435
639,apartment,950,2,2.0,27.5304,-97.8825
1084,apartment,718,1,1.0,29.5234,-98.5273
775,apartment,584,1,1.0,33.8712,-98.5127
875,apartment,1090,2,2.0,32.4366,-99.79
475,apartment,545,0,1.0,26.1734,-97.6783
975,apartment,713,1,1.0,29.8754,-97.9404
1090,apartment,1401,3,2.0,33.8712,-98.5127
1244,apartment,1334,3,2.0,30.656,-96.2897
1320,apartment,950,2,1.0,30.4224,-97.7967
1004,apartment,673,1,0.0,30.4838,-97.6587
1003,apartment,561,1,1.0,31.5489,-97.1262
1019,apartment,714,1,1.0,29.4189,-98.6895
2089,apartment,1263,2,2.0,31.9235,-102.292
845,apartment,703,1,1.0,27.7103,-97.4092
1050,apartment,1472,3,2.0,29.5042,-98.5697
1349,house,2543,5,2.5,30.1413,-97.8496
2341,apartment,1056,2,2.0,32.0278,-102.155
845,apartment,699,1,1.0,30.14,-94.1604
1299,manufactured,1568,4,2.0,32.419000000000004,-95.2106
980,apartment,1159,3,2.0,32.3193,-95.3375
903,apartment,607,1,1.0,29.8754,-97.9404
619,apartment,616,1,1.0,30.6057,-96.3108
870,apartment,450,1,1.0,29.8754,-97.9404
1330,apartment,805,1,1.0,32.7817,-96.8059
900,apartment,483,1,1.0,31.8935,-102.34700000000001
847,apartment,800,2,1.0,35.2703,-101.943
1020,apartment,1040,2,2.0,29.573,-95.1064
1117,apartment,802,1,1.0,30.4343,-97.7318
795,duplex,900,2,1.0,30.583000000000002,-96.2914
860,apartment,1040,2,2.5,30.6189,-96.3154
1000,manufactured,1216,3,2.0,32.419000000000004,-95.2106
609,townhouse,1700,4,4.0,30.5896,-96.3318
2095,apartment,1409,3,2.0,32.7392,-97.3852
589,apartment,480,0,1.0,30.619,-96.3185
2399,apartment,1436,2,2.5,32.8038,-96.7851
670,apartment,650,2,1.0,31.7089,-106.329
914,apartment,757,1,1.0,29.5298,-95.0334
849,apartment,791,1,1.0,30.6045,-96.3123
950,apartment,1100,3,3.0,29.8754,-97.9404
1556,apartment,1150,3,2.0,29.8754,-97.9404
675,apartment,700,2,1.0,31.7089,-106.329
639,apartment,756,2,1.0,30.6371,-96.3773
619,apartment,900,2,1.0,30.6371,-96.3773
615,apartment,522,1,1.0,31.8552,-106.435
740,apartment,950,2,1.0,31.1008,-97.7459
972,apartment,931,2,1.0,30.0931,-94.1899
995,apartment,817,2,1.0,27.6758,-97.3475
819,apartment,830,2,1.0,30.6224,-96.3498
1233,apartment,961,3,2.0,35.2054,-101.9
799,apartment,648,1,1.0,29.5189,-98.6006
900,apartment,918,2,1.0,29.2635,-94.8344
1440,apartment,956,1,1.0,32.8595,-96.9762
1380,apartment,652,1,1.0,32.0295,-102.09100000000001
1265,house,1112,4,2.0,25.9929,-97.524
1125,apartment,879,2,2.0,29.263,-94.8371
349,apartment,275,0,1.0,33.5865,-101.861
830,apartment,650,1,1.0,29.7286,-95.5392
901,apartment,950,2,2.0,32.806999999999995,-96.6713
675,apartment,700,2,1.0,31.7089,-106.329
990,apartment,583,1,1.0,31.9721,-102.137
669,apartment,600,1,1.0,30.619,-96.3185
675,apartment,700,2,1.0,31.7089,-106.329
975,apartment,820,2,1.0,31.078000000000003,-97.7145
610,apartment,925,2,1.0,29.8932,-97.9398
880,apartment,958,2,2.0,31.535,-97.1899
649,apartment,653,1,1.0,29.5237,-98.505
740,apartment,979,3,1.0,35.2779,-101.83
1053,apartment,874,1,1.0,30.1876,-97.7472
1271,apartment,698,1,1.0,33.0752,-96.7843
675,apartment,584,1,1.0,33.8712,-98.5127
1760,duplex,1481,2,2.0,32.0124,-102.124
769,apartment,992,2,2.0,30.7185,-95.5684
799,apartment,300,1,1.0,35.1899,-101.934
800,apartment,725,2,1.5,33.9519,-98.5145
1650,house,2400,7,4.5,26.271,-98.2604
900,apartment,1450,3,2.0,25.8998,-97.5082
995,apartment,845,2,1.0,30.3649,-97.6827
1395,apartment,698,1,0.0,32.8681,-96.8622
950,manufactured,1178,3,2.0,35.2766,-101.82
615,apartment,522,1,1.0,31.8552,-106.435
1063,apartment,985,2,2.0,29.5612,-98.6117
2209,apartment,1260,2,2.0,32.0362,-102.081
869,apartment,691,1,1.0,30.0931,-94.1899
699,apartment,880,2,2.0,30.6057,-96.3108
914,apartment,757,1,1.0,29.5298,-95.0334
1206,apartment,899,1,1.0,30.2444,-97.916
1785,apartment,833,1,1.0,32.0199,-102.148
715,apartment,456,1,1.0,31.6403,-97.0963
509,apartment,700,2,2.0,34.9829,-101.902
850,house,1350,3,1.0,31.7512,-94.6042
800,apartment,900,2,2.0,26.1923,-98.2657
750,apartment,725,2,1.5,33.9519,-98.5145
1195,house,1600,4,2.0,31.2029,-97.9301
1219,apartment,1052,2,2.0,27.5663,-99.4994
1209,house,2356,4,2.5,30.0413,-97.8427
1500,apartment,1147,2,2.0,30.2063,-97.7956
765,apartment,637,1,1.0,27.7103,-97.4092
975,apartment,1200,3,2.0,32.2336,-95.2642
800,apartment,900,2,2.0,26.1923,-98.2657
709,apartment,814,2,1.0,30.7028,-95.542
1197,apartment,1051,2,2.0,29.5298,-95.0334
1025,apartment,1000,2,2.0,27.6868,-97.3262
1299,manufactured,1568,4,2.0,32.419000000000004,-95.2106
650,apartment,860,2,1.0,35.1653,-101.884
779,apartment,827,2,1.5,30.6045,-96.3123
590,house,610,2,2.0,32.5796,-99.6635
889,apartment,650,1,1.0,29.8754,-97.9404
1145,condo,1120,2,2.0,30.4176,-97.6995
1440,apartment,956,1,1.0,32.8595,-96.9762
837,apartment,707,1,1.0,32.4001,-99.7691
918,apartment,932,2,2.0,29.5244,-98.5801
749,apartment,550,1,1.0,30.6045,-96.3123
979,apartment,1100,2,2.0,29.5463,-95.088
1099,apartment,1100,2,2.0,29.5463,-95.088
965,apartment,728,1,1.0,30.2219,-97.7431
720,apartment,230,0,1.0,33.5746,-101.944
739,apartment,576,1,1.0,30.7035,-95.544
615,apartment,364,0,1.0,35.1653,-101.884
1030,manufactured,1216,3,2.0,32.2768,-95.3031
2069,apartment,1045,2,2.0,32.0295,-102.09100000000001
815,apartment,502,0,1.0,29.7991,-95.4378
610,apartment,925,2,1.0,29.8932,-97.9398
850,apartment,474,1,1.0,30.2219,-97.7431
950,apartment,900,2,1.5,29.8754,-97.9404
1095,apartment,1040,2,2.0,29.8754,-97.9404
750,apartment,1100,1,1.0,31.5527,-97.1588
730,apartment,687,1,1.0,32.394,-99.779
2100,loft,1947,2,2.0,29.7247,-95.3625
495,apartment,625,2,1.0,26.1649,-97.9697
1235,house,1948,5,2.5,29.3795,-94.9786
819,apartment,753,2,1.0,27.677,-97.365
772,apartment,800,1,1.0,32.431999999999995,-99.7724
1200,condo,640,1,1.0,29.415,-98.4925
975,apartment,1004,2,1.0,32.7062,-97.4333
675,apartment,584,1,1.0,33.8712,-98.5127
1310,apartment,1294,2,2.0,32.2537,-95.3439
1667,apartment,748,1,1.0,32.0199,-102.148
1400,house,1800,3,2.0,26.2585,-98.2243
670,apartment,490,0,1.0,32.2975,-95.2644
1400,duplex,1308,3,2.0,29.8819,-97.958
1005,apartment,630,1,1.0,31.8932,-102.353
615,apartment,364,0,1.0,35.1653,-101.884
847,apartment,800,2,1.0,35.2703,-101.943
524,apartment,656,1,1.0,33.1345,-95.5922
1499,apartment,1145,2,2.0,30.4421,-97.6299
409,apartment,1125,4,2.0,34.9829,-101.902
780,apartment,1022,2,2.0,33.5478,-101.92399999999999
1234,apartment,1074,2,2.0,28.8104,-96.9742
1245,apartment,400,0,1.0,30.2315,-97.7223
686,apartment,550,1,1.0,29.5917,-98.4686
749,apartment,759,2,1.0,32.4239,-99.7961
675,apartment,650,1,1.0,33.8633,-98.53399999999999
800,apartment,725,2,1.5,33.9519,-98.5145
945,apartment,958,1,1.0,33.8712,-98.5127
716,apartment,761,1,1.0,33.8894,-98.5119
615,apartment,364,0,1.0,35.1653,-101.884
699,apartment,749,1,1.0,33.5434,-101.934
895,apartment,916,2,2.0,31.0376,-97.6809
770,apartment,1000,2,2.0,33.8894,-98.5119
1473,apartment,503,1,1.0,30.3764,-97.7078
685,apartment,640,1,1.0,30.0243,-95.4397
650,apartment,450,1,1.0,31.1202,-97.8824
1302,apartment,914,2,2.0,29.2971,-94.8002
865,apartment,960,2,2.0,29.2657,-94.8356
995,apartment,890,2,2.0,27.6758,-97.3475
905,apartment,703,1,1.0,30.226,-97.7236
699,apartment,644,1,1.0,28.8379,-97.0016
807,apartment,1100,2,2.0,33.5196,-101.86200000000001
869,apartment,691,1,1.0,30.0931,-94.1899
932,apartment,956,2,2.0,29.5917,-98.4686
1045,duplex,1300,3,2.0,32.2691,-95.2933
820,apartment,863,2,1.0,29.5334,-98.4975
755,apartment,800,1,1.5,31.8383,-106.536
2100,condo,1019,2,2.0,30.2617,-97.7728
914,apartment,757,1,1.0,29.5298,-95.0334
615,apartment,364,0,1.0,35.1653,-101.884
750,apartment,486,1,1.0,32.8693,-96.762
1150,apartment,750,2,1.5,31.9412,-102.40299999999999
925,apartment,817,2,1.0,27.6758,-97.3475
700,apartment,675,1,1.0,33.8633,-98.53399999999999
807,apartment,1100,2,2.0,33.5196,-101.86200000000001
1025,apartment,1073,2,2.0,33.5924,-101.93700000000001
675,apartment,765,2,1.0,29.9307,-93.8959
615,apartment,364,0,1.0,35.1653,-101.884
1029,apartment,1025,2,2.0,29.5827,-98.54899999999999
675,apartment,650,1,1.0,33.9519,-98.5145
725,apartment,895,2,1.5,33.5497,-101.919
826,apartment,1286,4,2.0,33.6196,-101.81
1400,apartment,999,1,1.0,29.7594,-95.3594
1350,house,1169,3,2.0,30.5864,-96.3096
990,apartment,985,2,2.0,29.5612,-98.6117
815,apartment,726,1,1.0,31.8682,-102.39399999999999
826,apartment,811,2,1.0,29.397,-94.9203
1500,condo,900,2,2.5,29.8131,-95.3098
745,apartment,1023,3,2.0,33.5469,-101.91
1206,apartment,907,1,1.0,30.4521,-97.7688
2800,house,1790,3,2.0,32.884,-96.8597
850,apartment,924,2,1.0,32.7484,-97.2163
950,apartment,806,1,1.0,29.8754,-97.9404
699,apartment,880,2,2.0,30.6057,-96.3108
800,apartment,725,2,1.5,33.9519,-98.5145
779,apartment,766,2,1.0,30.619,-96.3185
869,apartment,691,1,1.0,30.0931,-94.1899
1127,apartment,900,2,1.0,30.4521,-97.7688
809,apartment,794,2,2.0,29.8754,-97.9404
1200,apartment,823,1,1.0,29.7024,-95.4274
925,apartment,817,2,1.0,27.6758,-97.3475
1015,apartment,607,1,1.0,30.4036,-97.7526
896,apartment,755,1,1.0,29.8881,-97.9451
915,apartment,645,1,1.0,29.8754,-97.9404
1225,apartment,1044,2,2.0,31.7346,-95.5332
1668,apartment,1216,2,2.0,33.0304,-96.8777
615,apartment,364,0,1.0,35.1653,-101.884
1395,apartment,1051,2,2.0,33.1951,-96.6642
2000,apartment,1532,3,2.0,33.2559,-96.8853
1400,apartment,645,1,0.0,32.7392,-97.3852
835,apartment,535,1,1.0,30.3764,-97.7078
1,apartment,1029,2,0.0,31.7567,-106.354
1480,condo,900,2,2.5,29.8131,-95.3098
545,apartment,508,1,1.0,33.5497,-101.919
700,apartment,750,2,1.0,29.3466,-98.5074
649,apartment,756,2,1.0,30.6365,-96.3775
655,apartment,840,2,1.0,33.6196,-101.81
765,apartment,960,2,1.0,31.9386,-106.40700000000001
1828,apartment,759,1,1.0,32.0363,-102.081
349,apartment,275,0,1.0,33.5865,-101.861
950,manufactured,1171,3,2.0,35.2767,-101.82
695,apartment,975,2,2.0,26.4481,-98.2842
690,apartment,707,1,1.0,35.1913,-101.91799999999999
975,apartment,736,1,1.0,30.6673,-96.3298
1079,apartment,1008,2,2.0,30.0931,-94.1899
1105,apartment,1115,3,2.0,29.8754,-97.9404
1302,apartment,914,2,2.0,29.2971,-94.8002
720,apartment,846,2,1.5,30.6189,-96.3154
920,apartment,836,1,1.5,29.6364,-95.2216
509,apartment,875,2,2.0,30.6269,-96.3281
1279,apartment,1195,2,2.0,28.809,-96.9993
1170,apartment,1156,2,2.0,29.2635,-94.8344
1425,apartment,888,2,2.0,31.8579,-102.352
619,apartment,900,2,1.0,30.6371,-96.3773
819,apartment,950,2,1.0,29.8402,-95.3844
1248,apartment,712,1,1.0,32.0276,-102.148
1236,apartment,640,1,1.0,30.3764,-97.7078
995,apartment,890,2,2.0,27.6758,-97.3475
1050,house,1400,4,2.0,33.5497,-101.85600000000001
1010,apartment,744,1,1.0,30.638,-96.294
785,apartment,650,1,1.0,33.9675,-98.6868
750,apartment,725,2,1.5,33.9519,-98.5145
1997,apartment,1494,3,3.0,32.8582,-97.0832
1230,apartment,969,2,2.0,29.5791,-98.5938
688,apartment,778,2,1.0,31.5789,-106.266
399,apartment,854,1,1.0,30.6045,-96.3123
689,apartment,950,2,2.0,,
1225,apartment,1044,2,2.0,31.7346,-95.5332
950,house,2098,3,2.5,32.4294,-99.8246
525,duplex,864,2,1.0,32.4454,-99.7711
2179,apartment,1104,2,2.0,32.0199,-102.148
1013,apartment,575,1,1.0,30.2063,-97.7956
950,apartment,508,0,1.0,30.4036,-97.7526
749,apartment,640,1,1.0,30.6224,-96.3498
972,apartment,953,2,0.0,29.5389,-98.6525
975,apartment,700,1,1.0,32.0196,-102.14299999999999
730,apartment,750,1,1.0,30.1175,-94.1903
1055,apartment,1025,1,1.0,31.8893,-102.34899999999999
1335,apartment,725,1,1.0,32.7492,-96.8389
589,apartment,480,0,1.0,30.6045,-96.3123
1090,apartment,1401,3,2.0,33.8712,-98.5127
1755,apartment,1382,3,2.0,32.96,-96.8385
1370,loft,940,1,1.0,35.2054,-101.82799999999999
1815,apartment,1293,3,2.0,29.8634,-98.0037
700,apartment,670,1,1.0,32.4196,-99.789
990,apartment,583,1,1.0,31.9721,-102.137
2205,apartment,816,1,1.0,,
720,apartment,670,1,1.0,32.431999999999995,-99.7724
1089,apartment,1340,3,2.5,30.7061,-95.5495
630,apartment,680,2,1.0,31.8552,-106.435
1337,apartment,1013,2,2.0,31.076999999999998,-97.3666
1200,house,1900,3,2.0,31.541,-100.62899999999999
2445,apartment,1069,2,2.0,32.0277,-102.15799999999999
1650,condo,1461,2,2.0,32.0124,-102.124
525,apartment,280,0,1.0,33.5704,-101.863
1175,house,1580,3,2.0,33.5605,-101.90700000000001
874,apartment,987,2,2.0,29.3595,-98.4499
1129,apartment,586,1,1.0,30.1876,-97.7472
1150,apartment,605,1,1.0,30.2296,-97.7625
945,apartment,700,1,1.0,31.7346,-95.5332
1113,apartment,662,1,1.0,32.0276,-102.148
1125,apartment,879,2,2.0,29.263,-94.8371
615,apartment,364,0,1.0,35.1653,-101.884
1328,apartment,1025,2,2.0,29.6695,-98.6399
945,apartment,890,2,2.0,27.6758,-97.3475
996,apartment,926,2,2.0,29.5652,-98.4772
615,apartment,364,0,1.0,35.1653,-101.884
675,apartment,650,1,1.0,33.8633,-98.53399999999999
799,apartment,300,1,1.0,35.1896,-101.934
1383,apartment,702,1,1.0,29.7215,-95.444
655,apartment,584,1,1.0,33.8712,-98.5127
1040,apartment,700,1,1.0,31.8792,-102.301
705,apartment,721,1,1.0,29.7181,-95.5441
580,apartment,825,2,1.0,29.893,-97.9397
1080,apartment,1062,2,2.0,32.8958,-96.9744
660,apartment,689,2,1.0,31.8552,-106.435
800,apartment,1000,2,2.0,26.2332,-98.1939
675,manufactured,35,3,2.0,35.2224,-101.765
1049,apartment,976,2,2.0,29.7099,-98.1129
799,apartment,300,1,1.0,35.1898,-101.934
799,apartment,800,2,2.0,31.5171,-97.1939
1195,duplex,1300,3,2.0,31.0815,-97.751
1140,apartment,710,1,1.0,32.0351,-102.134
1241,apartment,1003,2,2.0,30.1365,-94.1905
1684,apartment,1309,3,2.0,29.4189,-98.6895
1371,apartment,933,2,2.0,32.0276,-102.148
1165,apartment,796,1,1.0,30.4036,-97.7526
615,apartment,364,0,1.0,35.1653,-101.884
1018,apartment,850,2,1.0,29.5152,-98.4689
900,apartment,868,2,1.0,29.6448,-95.5083
730,apartment,750,1,1.0,30.1175,-94.1903
1563,apartment,1107,2,2.0,31.9077,-102.28399999999999
865,apartment,832,1,1.0,27.7103,-97.4092
710,apartment,925,2,1.0,30.651,-96.3336
819,apartment,975,2,2.0,29.8402,-95.3844
1530,townhouse,1300,3,2.0,29.2971,-94.8002
840,apartment,805,2,2.0,33.8633,-98.53399999999999
945,apartment,700,1,1.0,31.7346,-95.5332
2333,apartment,1260,2,2.0,32.0362,-102.081
1302,apartment,914,2,2.0,29.2971,-94.8002
615,apartment,364,0,1.0,35.1653,-101.884
985,apartment,810,1,1.0,32.8409,-97.2854
780,apartment,1045,3,2.0,33.6975,-101.905
429,apartment,1149,3,3.0,30.593000000000004,-96.3338
845,apartment,651,1,1.0,29.3941,-94.9517
1230,apartment,1150,3,2.0,26.1823,-97.7301
945,apartment,890,2,2.0,27.6758,-97.3475
869,apartment,691,1,1.0,30.0931,-94.1899
859,apartment,1044,2,2.0,30.7061,-95.5495
885,apartment,880,1,1.0,29.3116,-94.77
645,apartment,825,2,1.5,33.5469,-101.91
1670,apartment,759,1,1.0,31.9235,-102.292
1035,apartment,624,1,1.0,29.9966,-97.8335
2100,house,2505,4,3.0,29.7404,-95.8304
808,apartment,800,2,2.0,31.535,-97.1899
610,apartment,730,2,1.0,31.7886,-106.39399999999999
1499,apartment,1202,3,2.0,,
749,apartment,880,2,1.5,30.6224,-96.3498
899,apartment,690,1,1.5,29.8754,-97.9404
1275,apartment,905,2,1.0,31.8341,-102.416
700,apartment,746,2,1.0,31.8552,-106.435
700,apartment,750,1,1.0,35.1944,-101.912
1010,apartment,630,1,1.0,31.8932,-102.353
509,apartment,875,2,2.0,30.6269,-96.3281
879,house,1436,3,2.5,30.8119,-97.5942
900,cottage/cabin,1300,1,1.0,32.5742,-95.4271
1025,house,950,2,1.0,27.7107,-97.3647
589,apartment,480,0,1.0,30.619,-96.3185
650,apartment,470,1,1.0,27.9115,-97.1413
995,apartment,890,2,2.0,27.6758,-97.3475
698,apartment,745,2,1.0,31.7966,-106.335
699,apartment,880,2,2.0,30.6057,-96.3108
699,apartment,880,2,2.0,30.6057,-96.3108
1150,house,1840,4,2.0,26.1513,-97.9185
615,apartment,752,1,1.0,31.11,-97.7637
589,apartment,480,0,1.0,30.619,-96.3185
2145,apartment,1104,2,2.0,32.0199,-102.148
1225,apartment,1201,2,1.5,32.9366,-96.7465
790,apartment,878,1,1.5,33.8712,-98.5127
730,apartment,750,1,1.0,30.1175,-94.1903
1070,apartment,1128,2,1.0,32.8958,-96.9744
809,apartment,1160,3,2.0,30.5932,-96.3271
635,apartment,501,1,1.0,28.8379,-97.0016
781,apartment,857,2,1.0,32.3044,-95.27
1110,apartment,900,2,2.0,32.2953,-95.2788
1347,apartment,845,1,0.0,30.249000000000002,-97.8414
475,apartment,525,1,1.0,31.1223,-97.7185
1000,house,12,2,2.0,33.8584,-98.5466
725,apartment,895,2,1.0,33.5497,-101.919
945,apartment,700,1,1.0,31.7346,-95.5332
935,manufactured,1216,3,2.0,32.419000000000004,-95.2106
899,apartment,912,2,2.0,32.4001,-99.7691
1395,condo,1151,3,2.0,32.9376,-96.8077
715,apartment,555,1,1.0,29.5395,-98.4194
785,apartment,650,1,1.0,33.9675,-98.6868
945,apartment,890,2,2.0,27.6758,-97.3475
1180,apartment,755,1,1.0,32.0351,-102.134
1689,apartment,1365,3,2.0,30.3649,-97.6827
1208,apartment,1150,3,2.0,29.5173,-98.3217
950,apartment,918,2,1.0,32.9228,-96.8135
