page_name,timestamp,user_id,utm_campaign,utm_source
2 - shopping_cart,2018-01-24 22:29,10400,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-29 15:36,10400,retargetting-campaign,email
1 - landing_page,2018-01-07 22:32,10503,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-08 01:39,10503,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-30 09:36,10656,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-30 12:21,10656,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-02-03 19:04,10656,retargetting-campaign,email
4 - purchase,2018-02-03 19:11,10656,retargetting-campaign,email
1 - landing_page,2018-01-18 03:53,10677,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-18 05:07,10677,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-05 13:17,10734,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-04 23:23,10875,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-05 02:03,10875,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-09 11:45,10875,weekly-newsletter,email
1 - landing_page,2018-01-09 14:30,10877,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-09 16:52,10877,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-11 13:25,10877,paid-search,google
1 - landing_page,2018-01-20 10:21,10925,cool-tshirts-search,google
2 - shopping_cart,2018-01-20 11:55,10925,cool-tshirts-search,google
1 - landing_page,2018-01-24 10:02,10957,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-06 00:21,10960,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-06 03:03,10960,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-10 22:54,10960,retargetting-ad,facebook
1 - landing_page,2018-01-30 13:22,11017,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-30 17:43,11017,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-17 05:28,11021,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-17 08:52,11021,getting-to-know-cool-tshirts,nytimes
1 - landing_page,2018-01-01 00:58,11028,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-01 02:16,11028,getting-to-know-cool-tshirts,nytimes
1 - landing_page,2018-01-18 21:44,11140,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-18 23:01,11140,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-20 22:56,11140,retargetting-ad,facebook
4 - purchase,2018-01-20 23:10,11140,retargetting-ad,facebook
1 - landing_page,2018-01-17 09:25,11186,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-17 10:19,11186,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-18 18:52,11186,retargetting-campaign,email
1 - landing_page,2018-01-10 00:23,11207,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-10 03:00,11207,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-01 10:29,11214,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-01 13:20,11214,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-02 18:09,11214,retargetting-ad,facebook
4 - purchase,2018-01-02 18:10,11214,retargetting-ad,facebook
1 - landing_page,2018-01-01 23:40,11234,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-02 01:34,11234,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-02 02:07,11234,getting-to-know-cool-tshirts,nytimes
1 - landing_page,2018-01-16 13:25,11403,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-16 15:00,11403,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-22 15:11,11522,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-22 15:21,11522,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-24 00:03,11522,retargetting-ad,facebook
1 - landing_page,2018-01-23 18:51,11545,cool-tshirts-search,google
2 - shopping_cart,2018-01-23 19:39,11545,cool-tshirts-search,google
3 - checkout,2018-01-25 02:19,11545,paid-search,google
1 - landing_page,2018-01-10 23:57,11562,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-11 02:43,11562,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-11 03:08,11562,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-30 17:00,11635,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-30 19:16,11635,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-02-01 09:35,11635,retargetting-campaign,email
1 - landing_page,2018-01-06 14:19,11661,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-06 17:32,11661,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-08 14:07,11661,weekly-newsletter,email
1 - landing_page,2018-01-05 06:16,11686,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-05 08:05,11686,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-28 10:25,11728,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-28 10:49,11728,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-25 21:52,11735,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-26 01:45,11735,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-27 19:00,11736,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-27 23:11,11736,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-02-01 18:26,11736,retargetting-ad,facebook
1 - landing_page,2018-01-27 10:37,11771,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-27 15:22,11771,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-06 21:02,11794,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-06 22:31,11794,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-28 22:56,11797,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-29 01:56,11797,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-02-02 23:47,11797,retargetting-ad,facebook
1 - landing_page,2018-01-15 13:08,11812,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-15 15:36,11812,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-16 16:29,11812,retargetting-campaign,email
1 - landing_page,2018-01-24 00:33,11902,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-24 02:51,11902,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-25 10:04,11902,retargetting-ad,facebook
1 - landing_page,2018-01-16 00:56,11915,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-16 04:20,11915,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-17 12:48,11915,paid-search,google
1 - landing_page,2018-01-18 15:44,11936,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-18 19:12,11936,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-21 03:34,11936,weekly-newsletter,email
1 - landing_page,2018-01-17 11:08,11946,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-17 15:12,11946,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-04 08:45,11984,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-04 13:11,11984,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-08 21:01,11984,weekly-newsletter,email
1 - landing_page,2018-01-29 06:35,12072,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-29 07:08,12072,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-02-01 10:48,12072,retargetting-campaign,email
4 - purchase,2018-02-01 10:56,12072,retargetting-campaign,email
1 - landing_page,2018-01-12 21:17,12107,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-12 22:59,12107,getting-to-know-cool-tshirts,nytimes
1 - landing_page,2018-01-06 10:59,12136,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-06 15:04,12136,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-13 21:28,12218,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-13 23:59,12218,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-16 07:31,12218,weekly-newsletter,email
1 - landing_page,2018-01-18 11:10,12307,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-18 14:25,12307,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-11 07:30,12308,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-11 12:11,12308,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-11 12:18,12308,getting-to-know-cool-tshirts,nytimes
1 - landing_page,2018-01-17 16:39,12327,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-17 20:25,12327,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-19 01:25,12327,paid-search,google
1 - landing_page,2018-01-29 01:15,12333,cool-tshirts-search,google
2 - shopping_cart,2018-01-29 04:10,12333,cool-tshirts-search,google
1 - landing_page,2018-01-29 12:32,12515,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-29 13:48,12515,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-31 12:24,12515,retargetting-campaign,email
1 - landing_page,2018-01-21 10:51,12542,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-21 12:12,12542,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-26 07:05,12542,retargetting-ad,facebook
1 - landing_page,2018-01-18 11:43,12607,cool-tshirts-search,google
2 - shopping_cart,2018-01-18 14:00,12607,cool-tshirts-search,google
3 - checkout,2018-01-21 01:55,12607,retargetting-campaign,email
1 - landing_page,2018-01-07 03:21,12667,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-07 06:35,12667,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-10 20:27,12667,retargetting-ad,facebook
4 - purchase,2018-01-10 20:36,12667,retargetting-ad,facebook
1 - landing_page,2018-01-08 07:18,12670,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-08 07:36,12670,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-09 16:25,12670,paid-search,google
1 - landing_page,2018-01-26 16:14,12746,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-26 19:38,12746,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-28 01:09,12746,paid-search,google
1 - landing_page,2018-01-14 15:20,12808,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-14 19:44,12808,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-17 06:17,12808,weekly-newsletter,email
1 - landing_page,2018-01-09 14:56,12832,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-09 17:37,12832,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-12 17:55,12832,retargetting-campaign,email
1 - landing_page,2018-01-05 03:48,12921,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-05 07:19,12921,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-09 07:33,12921,weekly-newsletter,email
1 - landing_page,2018-01-12 08:53,12999,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-12 13:46,12999,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-15 17:01,12999,weekly-newsletter,email
1 - landing_page,2018-01-30 01:41,13044,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-30 04:22,13044,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-30 04:45,13044,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-23 11:03,13062,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-23 11:34,13062,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-27 22:23,13062,retargetting-campaign,email
1 - landing_page,2018-01-01 07:59,13069,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-01 09:50,13069,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-01 09:57,13069,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-28 18:49,13072,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-28 23:33,13072,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-02-01 14:43,13072,retargetting-ad,facebook
1 - landing_page,2018-01-12 15:56,13082,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-12 16:59,13082,getting-to-know-cool-tshirts,nytimes
1 - landing_page,2018-01-09 01:14,13145,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-09 03:15,13145,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-06 22:59,13189,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-06 23:18,13189,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-26 23:44,13236,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-27 04:20,13236,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-30 21:50,13236,weekly-newsletter,email
1 - landing_page,2018-01-15 17:07,13318,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-15 20:49,13318,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-17 10:00,13318,paid-search,google
4 - purchase,2018-01-17 10:12,13318,paid-search,google
1 - landing_page,2018-01-03 15:13,13418,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-03 17:58,13418,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-06 16:34,13418,retargetting-ad,facebook
4 - purchase,2018-01-06 16:36,13418,retargetting-ad,facebook
1 - landing_page,2018-01-22 12:32,13667,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-22 13:30,13667,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-25 13:49,13667,retargetting-ad,facebook
1 - landing_page,2018-01-08 23:33,13691,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-09 03:56,13691,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-13 04:00,13691,retargetting-ad,facebook
1 - landing_page,2018-01-30 15:08,13764,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-30 15:40,13764,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-07 10:25,13865,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-07 14:14,13865,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-11 21:55,13865,retargetting-ad,facebook
1 - landing_page,2018-01-19 07:31,13930,cool-tshirts-search,google
2 - shopping_cart,2018-01-19 11:39,13930,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-24 01:05,13930,weekly-newsletter,email
1 - landing_page,2018-01-22 10:36,13952,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-22 11:23,13952,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-26 13:18,13952,weekly-newsletter,email
1 - landing_page,2018-01-26 19:57,13993,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-26 21:46,13993,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-13 16:01,14014,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-13 18:35,14014,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-17 17:55,14014,weekly-newsletter,email
4 - purchase,2018-01-17 18:07,14014,weekly-newsletter,email
1 - landing_page,2018-01-23 18:10,14062,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-23 22:24,14062,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-26 18:33,14062,retargetting-ad,facebook
1 - landing_page,2018-01-06 23:34,14158,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-07 03:20,14158,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-08 12:21,14158,weekly-newsletter,email
1 - landing_page,2018-01-25 04:43,14242,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-25 07:02,14242,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-28 05:41,14242,retargetting-ad,facebook
4 - purchase,2018-01-28 05:54,14242,retargetting-ad,facebook
1 - landing_page,2018-01-04 12:10,14367,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-04 14:44,14367,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-08 12:30,14367,retargetting-ad,facebook
1 - landing_page,2018-01-16 22:59,14378,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-17 00:54,14378,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-19 12:04,14378,retargetting-ad,facebook
4 - purchase,2018-01-19 12:09,14378,retargetting-ad,facebook
1 - landing_page,2018-01-20 02:48,14397,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-20 05:52,14397,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-22 03:39,14397,retargetting-campaign,email
1 - landing_page,2018-01-01 16:07,14399,cool-tshirts-search,google
2 - shopping_cart,2018-01-01 17:29,14399,cool-tshirts-search,google
3 - checkout,2018-01-04 08:35,14399,retargetting-campaign,email
1 - landing_page,2018-01-23 20:10,14430,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-23 22:36,14430,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-25 13:12,14430,weekly-newsletter,email
1 - landing_page,2018-01-12 04:59,14488,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-12 05:58,14488,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-19 03:53,14509,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-19 07:56,14509,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-23 00:25,14509,weekly-newsletter,email
1 - landing_page,2018-01-03 16:32,14539,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-03 20:29,14539,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-06 13:16,14539,weekly-newsletter,email
1 - landing_page,2018-01-13 15:44,14570,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-13 17:31,14570,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-16 16:22,14570,weekly-newsletter,email
1 - landing_page,2018-01-12 09:26,14646,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-12 13:00,14646,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-16 17:58,14646,retargetting-ad,facebook
4 - purchase,2018-01-16 18:00,14646,retargetting-ad,facebook
1 - landing_page,2018-01-25 11:14,14693,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-25 14:45,14693,getting-to-know-cool-tshirts,nytimes
1 - landing_page,2018-01-16 21:35,14754,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-17 01:28,14754,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-18 13:47,14754,weekly-newsletter,email
1 - landing_page,2018-01-15 17:22,14770,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-15 22:14,14770,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-15 22:49,14770,interview-with-cool-tshirts-founder,medium
4 - purchase,2018-01-15 22:54,14770,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-07 07:27,14795,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-07 11:49,14795,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-09 19:03,14795,weekly-newsletter,email
1 - landing_page,2018-01-08 19:55,14816,cool-tshirts-search,google
2 - shopping_cart,2018-01-09 00:36,14816,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-11 19:50,14816,retargetting-campaign,email
1 - landing_page,2018-01-29 23:43,14872,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-30 04:12,14872,getting-to-know-cool-tshirts,nytimes
1 - landing_page,2018-01-04 05:25,14962,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-04 06:44,14962,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-07 05:23,14962,weekly-newsletter,email
1 - landing_page,2018-01-03 22:24,14968,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-04 01:26,14968,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-05 22:41,14968,retargetting-ad,facebook
1 - landing_page,2018-01-17 03:29,15004,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-17 04:59,15004,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-20 15:38,15004,retargetting-campaign,email
1 - landing_page,2018-01-03 01:05,15015,getting-to-know-cool-tshirts,nytimes
1 - landing_page,2018-01-27 23:09,15039,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-28 02:11,15039,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-30 04:58,15039,retargetting-ad,facebook
4 - purchase,2018-01-30 05:04,15039,retargetting-ad,facebook
1 - landing_page,2018-01-21 18:49,15058,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-21 20:13,15058,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-24 16:28,15058,retargetting-ad,facebook
1 - landing_page,2018-01-13 06:30,15060,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-13 08:27,15060,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-16 01:24,15060,paid-search,google
1 - landing_page,2018-01-09 00:42,15151,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-09 04:59,15151,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-12 04:25,15151,retargetting-ad,facebook
4 - purchase,2018-01-12 04:27,15151,retargetting-ad,facebook
1 - landing_page,2018-01-22 20:40,15154,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-23 00:51,15154,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-26 15:13,15154,retargetting-ad,facebook
1 - landing_page,2018-01-09 08:57,15165,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-09 10:32,15165,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-12 00:52,15165,weekly-newsletter,email
4 - purchase,2018-01-12 00:54,15165,weekly-newsletter,email
1 - landing_page,2018-01-29 21:33,15172,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-02 12:37,15219,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-02 16:08,15219,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-07 00:00,15219,retargetting-campaign,email
1 - landing_page,2018-01-10 00:38,15228,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-10 03:40,15228,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-11 21:21,15228,weekly-newsletter,email
1 - landing_page,2018-01-10 15:28,15232,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-10 16:43,15232,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-15 03:09,15232,weekly-newsletter,email
1 - landing_page,2018-01-14 15:21,15288,cool-tshirts-search,google
2 - shopping_cart,2018-01-14 20:09,15288,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-18 04:34,15288,retargetting-campaign,email
4 - purchase,2018-01-18 04:42,15288,retargetting-campaign,email
1 - landing_page,2018-01-10 16:46,15349,getting-to-know-cool-tshirts,nytimes
1 - landing_page,2018-01-26 16:45,15385,ten-crazy-cool-tshirts-facts,buzzfeed
1 - landing_page,2018-01-04 17:46,15483,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-04 18:35,15483,interview-with-cool-tshirts-founder,medium
1 - landing_page,2018-01-06 02:59,15508,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-06 07:43,15508,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-09 20:06,15508,retargetting-campaign,email
1 - landing_page,2018-01-12 04:47,15531,getting-to-know-cool-tshirts,nytimes
