,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
82235,313 - CHEST PAIN,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,AL - Mobile,33,11746.9,3762.51,1846.15
82236,313 - CHEST PAIN,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,119,12790.15,3492.17,2484.1
82237,313 - CHEST PAIN,10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,FL - Pensacola,59,6131.62,3028.0,2036.27
82238,313 - CHEST PAIN,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile,28,9824.6,2682.64,1594.5
82239,313 - CHEST PAIN,10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,AL - Birmingham,32,11883.65,3682.78,2703.15
82240,313 - CHEST PAIN,10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,AL - Birmingham,34,13602.91,3516.38,2382.05
82241,313 - CHEST PAIN,10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,AL - Birmingham,28,28750.57,4170.53,1984.78
82242,313 - CHEST PAIN,10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AL - Montgomery,18,13358.27,2895.88,1963.22
82243,313 - CHEST PAIN,10112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,AL - Birmingham,49,4610.73,2868.0,2197.63
82244,313 - CHEST PAIN,10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,AL - Mobile,148,13840.5,3079.27,2074.87
82245,313 - CHEST PAIN,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,AL - Birmingham,38,14490.31,3079.42,2042.13
82246,313 - CHEST PAIN,10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,AL - Birmingham,53,12698.0,3849.45,3042.33
82247,313 - CHEST PAIN,10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36461,AL - Mobile,11,10512.09,3111.0,2293.54
82248,313 - CHEST PAIN,10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,HALEYVILLE,AL,35565,AL - Birmingham,18,7770.77,3133.88,1856.22
82249,313 - CHEST PAIN,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,AL - Huntsville,21,22905.23,2889.28,1966.52
82250,313 - CHEST PAIN,10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,75,33436.72,2827.34,1855.34
82251,313 - CHEST PAIN,10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,AL - Montgomery,62,11779.69,3462.38,2264.62
82252,313 - CHEST PAIN,10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,AL - Montgomery,17,20088.64,3415.0,2623.47
82253,313 - CHEST PAIN,10152,INFIRMARY WEST,5600 GIRBY RD,MOBILE,AL,36693,AL - Mobile,15,9561.2,3119.0,2146.46
82254,313 - CHEST PAIN,10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,AL - Birmingham,11,10494.45,3077.0,2253.72
82255,313 - CHEST PAIN,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,AL - Birmingham,38,14002.31,3273.1,2471.31
82256,313 - CHEST PAIN,10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,FL - Pensacola,13,14100.38,2946.0,2254.3
82257,313 - CHEST PAIN,20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99519,AK - Anchorage,22,21674.04,4717.04,3848.13
82258,313 - CHEST PAIN,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,26,23297.88,6624.84,4294.46
82259,313 - CHEST PAIN,20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,AK - Anchorage,12,20370.83,7776.91,6650.25
82260,313 - CHEST PAIN,20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,AK - Anchorage,21,9672.19,6921.0,6117.0
82261,313 - CHEST PAIN,30001,MARYVALE HOSPITAL,5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,85031,AZ - Phoenix,14,25280.28,4792.57,3912.28
82262,313 - CHEST PAIN,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,AZ - Phoenix,107,19261.3,4254.65,3326.75
82263,313 - CHEST PAIN,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,AZ - Tucson,49,17284.69,3796.97,3128.97
82264,313 - CHEST PAIN,30010,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,AZ - Tucson,35,20766.42,3540.94,2844.25
82265,313 - CHEST PAIN,30011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,AZ - Tucson,52,19779.75,3238.88,2347.57
82266,313 - CHEST PAIN,30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,AZ - Phoenix,20,14897.4,3855.9,2845.1
82267,313 - CHEST PAIN,30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,AZ - Phoenix,34,12019.26,3812.67,2885.79
82268,313 - CHEST PAIN,30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,AZ - Phoenix,24,22291.37,4618.29,2548.08
82269,313 - CHEST PAIN,30016,CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85222,AZ - Phoenix,25,13770.2,3776.2,2877.0
82270,313 - CHEST PAIN,30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,AZ - Phoenix,21,29439.47,5768.42,4824.9
82271,313 - CHEST PAIN,30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,AZ - Phoenix,11,28653.72,4931.45,4119.81
82272,313 - CHEST PAIN,30030,PHOENIX BAPTIST HOSPITAL,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,AZ - Phoenix,25,19408.24,4150.4,3218.52
82273,313 - CHEST PAIN,30033,PAYSON REGIONAL MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,AZ - Phoenix,19,33191.42,3953.15,3008.31
82274,313 - CHEST PAIN,30037,ST LUKES MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,AZ - Phoenix,28,23530.46,3927.14,3163.57
82275,313 - CHEST PAIN,30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,AZ - Phoenix,12,28544.08,4100.66,2365.5
82276,313 - CHEST PAIN,30043,SIERRA VISTA REGIONAL HEALTH CENTER INC,300 EL CAMINO REAL,SIERRA VISTA,AZ,85635,AZ - Tucson,24,18572.33,4355.75,3607.75
82277,313 - CHEST PAIN,30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86409,AZ - Phoenix,23,18259.78,4250.56,2997.73
82278,313 - CHEST PAIN,30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,AZ - Sun City,99,19512.54,3249.86,2370.43
82279,313 - CHEST PAIN,30064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT, THE",1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,AZ - Tucson,26,17778.5,5551.07,4782.73
82280,313 - CHEST PAIN,30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,AZ - Mesa,108,15517.97,3951.3,2643.22
82281,313 - CHEST PAIN,30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CIT,AZ,86403,AZ - Phoenix,36,17337.75,3561.77,2530.33
82282,313 - CHEST PAIN,30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,AZ - Phoenix,11,5838.45,4750.54,3933.09
82283,313 - CHEST PAIN,30083,PARADISE VALLEY HOSPITAL,3929 EAST BELL ROAD,PHOENIX,AZ,85032,AZ - Phoenix,12,17366.08,3767.91,2924.25
82284,313 - CHEST PAIN,30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,AZ - Tucson,22,18377.95,3261.31,2443.86
82285,313 - CHEST PAIN,30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,AZ - Mesa,34,16608.08,3402.41,2458.0
82286,313 - CHEST PAIN,30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,AZ - Phoenix,115,18943.77,3922.85,2809.26
82287,313 - CHEST PAIN,30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,AZ - Phoenix,23,30050.47,3618.78,2519.47
82288,313 - CHEST PAIN,30093,BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,AZ - Sun City,102,20167.28,3390.81,2364.93
82289,313 - CHEST PAIN,30094,ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,AZ - Phoenix,18,18505.22,3866.88,2769.94
82290,313 - CHEST PAIN,30100,CARONDELET HEART AND VASCULAR INSTITUTE,4888 NORTH STONE AVENUE,TUCSON,AZ,85704,AZ - Tucson,23,20740.26,3002.0,2075.21
82291,313 - CHEST PAIN,30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,NV - Las Vegas,89,30467.08,3745.64,2748.06
82292,313 - CHEST PAIN,30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,AZ - Mesa,95,13627.76,3258.18,2085.6
82293,313 - CHEST PAIN,30110,WEST VALLEY HOSPITAL,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,AZ - Phoenix,75,15729.61,4048.61,2620.65
82294,313 - CHEST PAIN,30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,AZ - Phoenix,94,20683.38,4335.79,2670.5
82295,313 - CHEST PAIN,30117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426,NV - Las Vegas,31,18549.67,3631.12,2512.06
82296,313 - CHEST PAIN,30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296,AZ - Mesa,12,33414.33,4468.16,2495.83
82297,313 - CHEST PAIN,30120,GILBERT HOSPITAL,5656 SOUTH POWER ROAD,GILBERT,AZ,85295,AZ - Mesa,14,21174.14,3463.35,2661.64
82298,313 - CHEST PAIN,30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,AZ - Mesa,29,23006.41,3711.41,2665.2
82299,313 - CHEST PAIN,30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,AZ - Mesa,49,16922.28,3584.12,2303.44
82300,313 - CHEST PAIN,30128,HUALAPAI MOUNTAIN MEDICAL CENTER,3801 SANTA ROSA DRIVE,KINGMAN,AZ,86401,AZ - Phoenix,16,17534.18,3010.0,1886.62
82301,313 - CHEST PAIN,40001,SILOAM SPRINGS MEMORIAL HOSPITAL,205 EAST JEFFERSON STREET,SILOAM SPRINGS,AR,72761,AR - Springdale,25,8830.28,3457.0,2506.96
82302,313 - CHEST PAIN,40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,3215 N NORTH HILLS BLVD,FAYETTEVILLE,AR,72703,AR - Springdale,31,13952.09,3120.54,2056.51
82303,313 - CHEST PAIN,40007,ST VINCENT INFIRMARY MEDICAL CENTER,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,AR - Little Rock,93,12981.07,3290.05,2382.86
82304,313 - CHEST PAIN,40010,MERCY MEDICAL CENTER,2710 RIFE MEDICAL LANE,ROGERS,AR,72758,AR - Springdale,23,12382.21,2979.39,2097.65
82305,313 - CHEST PAIN,40011,"JOHN ED CHAMBERS MEM HOSP, INC",HIGHWAY 10 AT DETROIT STREET,DANVILLE,AR,72833,AR - Little Rock,25,3474.16,2961.92,2556.96
82306,313 - CHEST PAIN,40014,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,72143,AR - Little Rock,104,9636.48,3462.81,2019.71
82307,313 - CHEST PAIN,40016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,AR - Little Rock,14,13519.92,4152.35,3330.42
82308,313 - CHEST PAIN,40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,72601,AR - Springdale,29,12261.75,3272.37,2332.0
82309,313 - CHEST PAIN,40018,SUMMIT MEDICAL CENTER,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,AR - Fort Smith,19,12657.36,3006.15,1926.31
82310,313 - CHEST PAIN,40020,ST BERNARDS MEDICAL CTR,225 E JACKSON,JONESBORO,AR,72401,AR - Jonesboro,72,6049.04,3442.72,2410.47
82311,313 - CHEST PAIN,40022,"NW ARKANSAS HOSPITALS, LLC",609 WEST MAPLE AVENUE,SPRINGDALE,AR,72764,AR - Springdale,44,21729.36,3278.45,2174.68
82312,313 - CHEST PAIN,40026,ST JOSEPHS MERCY HEALTH CENTER INC,300 WERNER STREET,HOT SPRINGS,AR,71903,AR - Little Rock,22,16783.5,3119.45,2199.09
82313,313 - CHEST PAIN,40027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653,MO - Springfield,95,7712.82,2958.61,1955.27
82314,313 - CHEST PAIN,40029,CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVENUE,CONWAY,AR,72034,AR - Little Rock,13,6996.84,3037.92,2087.46
82315,313 - CHEST PAIN,40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE RO,AR,72117,AR - Little Rock,21,10970.47,3239.71,2354.14
82316,313 - CHEST PAIN,40039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,AR,72450,AR - Jonesboro,25,7402.52,3161.2,2230.28
82317,313 - CHEST PAIN,40041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,RUSSELLVILLE,AR,72801,AR - Little Rock,55,15132.54,3301.25,2308.34
82318,313 - CHEST PAIN,40042,CRITTENDEN MEMORIAL HOSPITAL,200 TYLER,WEST MEMPHIS,AR,72301,TN - Memphis,16,13600.68,3961.75,2977.25
82319,313 - CHEST PAIN,40047,FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,AR - Jonesboro,12,6161.66,3389.0,2459.0
82320,313 - CHEST PAIN,40055,SPARKS REGIONAL MEDICAL CENTER,1001 TOWSON AVENUE,FORT SMITH,AR,72901,AR - Fort Smith,114,9894.56,3160.87,2202.57
82321,313 - CHEST PAIN,40062,ST EDWARD MERCY MEDICAL CENTER,7301 ROGERS AVE,FORT SMITH,AR,72917,AR - Fort Smith,60,11856.85,2932.76,1826.8
82322,313 - CHEST PAIN,40078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,AR - Little Rock,24,23123.37,3310.75,2608.58
82323,313 - CHEST PAIN,40080,HARRIS HOSPITAL,1205 MCLAIN STREET,NEWPORT,AR,72112,AR - Little Rock,21,21098.9,3133.0,2273.57
82324,313 - CHEST PAIN,40084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,72015,AR - Little Rock,12,13316.66,2995.0,2051.66
82325,313 - CHEST PAIN,40088,MEDICAL CENTER SOUTH ARKANSAS,700 WEST GROVE STREET,EL DORADO,AR,71731,AR - Little Rock,49,16517.1,3317.36,2268.71
82326,313 - CHEST PAIN,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,"9601 INTERSTATE 630, EXIT 7",LITTLE ROCK,AR,72205,AR - Little Rock,73,11881.93,3191.95,2208.01
82327,313 - CHEST PAIN,40118,NEA BAPTIST MEMORIAL HOSPITAL,3024 STADIUM BOULEVARD,JONESBORO,AR,72401,AR - Jonesboro,44,12731.36,3108.29,2034.86
82328,313 - CHEST PAIN,40119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,BATESVILLE,AR,72503,AR - Little Rock,16,14793.12,3432.06,2272.68
82329,313 - CHEST PAIN,40134,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,AR - Little Rock,38,10465.1,2845.78,2069.94
82330,313 - CHEST PAIN,40137,ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE,SHERWOOD,AR,72120,AR - Little Rock,15,11996.73,3060.33,1945.2
82331,313 - CHEST PAIN,50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,CA - Alameda County,70,37588.84,5981.58,5064.47
82332,313 - CHEST PAIN,50006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,CA - Redding,11,28014.0,4392.0,3468.72
82333,313 - CHEST PAIN,50007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,CA - San Mateo County,13,27270.76,4574.92,3137.23
82334,313 - CHEST PAIN,50009,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,CA - Napa,25,38306.0,4580.0,3492.2
82335,313 - CHEST PAIN,50013,ST HELENA HOSPITAL,10 WOODLAND ROAD,SAINT HELENA,CA,94574,CA - Napa,24,18430.75,5158.91,3904.33
82336,313 - CHEST PAIN,50017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,CA - Sacramento,31,36153.7,4880.03,3571.54
82337,313 - CHEST PAIN,50022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,CA - San Bernardino,98,39190.61,5026.46,3668.11
82338,313 - CHEST PAIN,50024,PARADISE VALLEY HOSPITAL,2400 EAST FOURTH STREET,NATIONAL CITY,CA,91950,CA - San Diego,43,20738.6,4960.53,4124.81
82339,313 - CHEST PAIN,50025,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,CA - San Diego,25,14502.68,5932.4,5427.16
82340,313 - CHEST PAIN,50026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,CA - San Diego,54,29420.48,4232.4,3379.37
82341,313 - CHEST PAIN,50028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,CA - Redding,13,15769.23,4125.92,2771.69
82342,313 - CHEST PAIN,50030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,CA - Chico,111,18574.02,4206.21,3487.12
82343,313 - CHEST PAIN,50036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST BOX 1888,BAKERSFIELD,CA,93301,CA - Bakersfield,67,24943.71,4388.79,3198.0
82344,313 - CHEST PAIN,50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,CA - San Jose,24,23206.66,7946.75,7298.41
82345,313 - CHEST PAIN,50039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,CA - Chico,33,27594.96,3769.93,3030.63
82346,313 - CHEST PAIN,50040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,CA - Los Angeles,18,13159.5,7433.38,6684.05
82347,313 - CHEST PAIN,50043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,CA - Alameda County,100,27401.45,5714.22,4658.62
