Date,Month,Symbol,Open,High,Low,Close,Volume
3/11/21,Mar,BTCUSD,55971.68,58120.00,54281.74,57111.63,1776.09
3/12/21,Mar,BTCUSD,57111.63,57959.22,55050.00,56705.84,1595.58
3/13/21,Mar,BTCUSD,56705.84,61785.00,56284.51,61354.75,2135.31
3/14/21,Mar,BTCUSD,61354.75,61500.82,58750.00,60362.18,1286.15
3/15/21,Mar,BTCUSD,60362.18,60561.59,53238.69,54255.04,3453.09
3/16/21,Mar,BTCUSD,54255.04,57185.78,53589.00,55548.73,1350.97
3/17/21,Mar,BTCUSD,55548.73,59567.59,54144.95,58687.36,1950.94
3/18/21,Mar,BTCUSD,58687.36,60099.99,56239.55,57793.71,1594.38
3/19/21,Mar,BTCUSD,57793.71,59448.39,57507.61,58428.90,1014.17
3/20/21,Mar,BTCUSD,58428.90,59880.00,57469.36,57833.32,774.22
3/21/21,Mar,BTCUSD,57833.32,58164.58,55500.00,57551.47,781.35
3/22/21,Mar,BTCUSD,57551.47,58445.36,53733.67,54710.81,1771.20
3/23/21,Mar,BTCUSD,54710.81,55903.62,53000.00,54375.12,1916.14
3/24/21,Mar,BTCUSD,54375.12,57245.00,51533.89,52152.85,2556.02
3/25/21,Mar,BTCUSD,52152.85,53234.52,50387.01,52450.80,1736.99
3/26/21,Mar,BTCUSD,52450.80,55627.21,52205.36,54804.02,1655.31
3/27/21,Mar,BTCUSD,54804.02,56624.33,53990.00,56094.03,730.37
3/28/21,Mar,BTCUSD,56094.03,56576.23,54711.01,55351.00,453.44
3/29/21,Mar,BTCUSD,55351.00,58430.77,54889.09,57155.81,2020.26
3/30/21,Mar,BTCUSD,57155.81,59385.00,57024.40,58621.67,933.97
3/31/21,Mar,BTCUSD,58621.67,59800.00,56880.00,59143.58,1679.55
4/1/21,Apr,BTCUSD,59143.58,60100.00,57946.28,59800.00,1221.00
4/2/21,Apr,BTCUSD,59800.00,59950.00,58485.68,59251.04,760.64
4/3/21,Apr,BTCUSD,59251.04,59851.52,56500.00,57557.71,834.45
4/4/21,Apr,BTCUSD,57557.71,58500.94,57042.53,57479.64,288.30
4/5/21,Apr,BTCUSD,57479.64,59468.95,56810.28,58638.14,845.18
4/6/21,Apr,BTCUSD,58638.14,59028.19,57255.00,57934.16,1173.72
4/7/21,Apr,BTCUSD,57934.16,58675.79,55450.00,56559.59,1994.91
4/8/21,Apr,BTCUSD,56559.59,58400.00,56370.70,58014.19,762.92
4/9/21,Apr,BTCUSD,58014.19,59170.00,57689.72,59160.00,930.34
4/10/21,Apr,BTCUSD,59160.00,61180.00,58316.33,60240.83,1344.77
4/11/21,Apr,BTCUSD,60240.83,60416.42,59200.00,60325.66,644.47
4/12/21,Apr,BTCUSD,60325.66,61197.09,59400.01,60415.91,1343.29
4/13/21,Apr,BTCUSD,60415.91,63880.00,60321.12,63773.18,2091.43
4/14/21,Apr,BTCUSD,63773.18,64900.00,61303.97,63063.72,2922.03
4/15/21,Apr,BTCUSD,63063.72,63855.12,62045.00,62998.68,1328.55
4/16/21,Apr,BTCUSD,62998.68,62998.68,60055.14,62450.00,2319.60
4/17/21,Apr,BTCUSD,62450.00,62545.78,50622.32,55992.97,2586.09
4/18/21,Apr,BTCUSD,55992.97,57404.04,53176.36,57175.61,3720.30
4/19/21,Apr,BTCUSD,57175.61,57624.66,53606.41,54586.65,2832.89
4/20/21,Apr,BTCUSD,54586.65,57145.34,53416.76,55255.57,2353.91
4/21/21,Apr,BTCUSD,55255.57,56373.00,52600.00,53508.08,2243.11
4/22/21,Apr,BTCUSD,53508.08,55499.99,48565.58,50329.66,4415.70
4/23/21,Apr,BTCUSD,50329.66,51380.03,47231.00,50195.42,3250.51
4/24/21,Apr,BTCUSD,50195.42,51150.01,48755.01,49721.97,943.26
4/25/21,Apr,BTCUSD,49721.97,52567.77,47000.00,52435.90,2662.93
4/26/21,Apr,BTCUSD,52435.90,54419.57,52096.87,53531.94,1804.88
4/27/21,Apr,BTCUSD,53531.94,55800.00,53345.62,54883.25,1508.58
4/28/21,Apr,BTCUSD,54883.25,56474.72,53861.12,54312.41,1628.45
4/29/21,Apr,BTCUSD,54312.41,54755.36,52389.42,53750.01,1561.01
4/30/21,Apr,BTCUSD,53750.01,58553.71,53750.01,58272.25,1869.51
5/1/21,May,BTCUSD,58272.25,300000.00,56408.62,56547.40,538.94
5/2/21,May,BTCUSD,56547.40,58293.35,56104.40,57970.74,653.63
5/3/21,May,BTCUSD,57970.74,58988.52,54654.65,55511.37,2363.15
5/4/21,May,BTCUSD,55511.37,56659.50,52947.09,54832.20,2880.08
5/5/21,May,BTCUSD,54832.20,57974.07,53158.68,56900.44,2430.66
5/6/21,May,BTCUSD,56900.44,58465.93,55200.00,55762.28,1494.90
5/7/21,May,BTCUSD,55762.28,58750.00,55292.22,58187.76,1591.20
5/8/21,May,BTCUSD,58187.76,59560.00,57583.09,58545.16,1692.08
5/9/21,May,BTCUSD,58545.16,59481.34,56275.13,59407.78,1710.38
5/10/21,May,BTCUSD,59407.78,59584.99,53434.31,55194.75,2583.42
5/11/21,May,BTCUSD,55194.75,57898.00,54684.00,57820.00,1432.56
5/12/21,May,BTCUSD,57820.00,57998.26,45000.00,50493.11,6438.29
5/13/21,May,BTCUSD,50493.11,51389.95,46962.39,49221.07,4250.47
5/14/21,May,BTCUSD,49221.07,51575.16,48894.79,49670.85,2001.31
5/15/21,May,BTCUSD,49670.85,49900.00,46500.00,48383.60,1938.26
5/16/21,May,BTCUSD,48383.60,49790.00,42793.00,42902.09,3937.04
5/17/21,May,BTCUSD,42902.09,45833.48,42080.00,44824.75,5764.37
5/18/21,May,BTCUSD,44824.75,45860.17,40118.00,40570.98,4778.04
5/19/21,May,BTCUSD,40570.98,40867.40,28700.00,38411.14,18000.98
5/20/21,May,BTCUSD,38411.14,42625.43,38200.00,40773.52,4981.39
5/21/21,May,BTCUSD,40773.52,41796.74,33500.00,36963.52,7491.23
5/22/21,May,BTCUSD,36963.52,38861.15,35272.09,37484.18,2418.86
5/23/21,May,BTCUSD,37484.18,37484.18,31104.14,35318.86,7143.10
5/24/21,May,BTCUSD,35318.86,39953.65,34426.41,38388.09,4706.08
5/25/21,May,BTCUSD,38388.09,39760.96,36489.42,39572.33,2909.35
5/26/21,May,BTCUSD,39572.33,40861.20,37117.09,37672.47,3101.07
5/27/21,May,BTCUSD,37672.47,40432.40,37302.06,38271.59,2140.75
5/28/21,May,BTCUSD,38271.59,38271.59,34558.00,36503.31,3541.35
5/29/21,May,BTCUSD,36503.31,37320.00,33410.29,34805.29,2212.16
5/30/21,May,BTCUSD,34805.29,36523.24,34298.01,34536.71,1562.38
5/31/21,May,BTCUSD,34536.71,37912.87,34200.00,36702.88,1649.40
6/1/21,Jun,BTCUSD,36702.88,37448.02,35687.00,36483.57,2347.26
6/2/21,Jun,BTCUSD,36483.57,38256.40,36478.97,37655.54,1612.75
6/3/21,Jun,BTCUSD,37655.54,39487.91,37400.00,37963.61,1786.28
6/4/21,Jun,BTCUSD,37963.61,37963.61,35580.82,37419.82,2300.76
6/5/21,Jun,BTCUSD,37419.82,37918.57,34820.00,36025.16,2454.43
6/6/21,Jun,BTCUSD,36025.16,36812.09,35259.98,36397.50,1007.72
6/7/21,Jun,BTCUSD,36397.50,36798.03,32400.01,32843.15,3518.60
6/8/21,Jun,BTCUSD,32843.15,33841.46,31000.01,32898.06,5149.19
6/9/21,Jun,BTCUSD,32898.06,37676.60,32575.84,36982.83,4190.37
6/10/21,Jun,BTCUSD,36982.83,38437.02,35819.67,36784.37,2959.52
6/11/21,Jun,BTCUSD,36784.37,37690.00,35307.69,35591.29,2027.80
6/12/21,Jun,BTCUSD,35591.29,36222.80,34655.99,34877.30,1298.16
6/13/21,Jun,BTCUSD,34877.30,39816.72,34792.66,38988.50,2406.83
6/14/21,Jun,BTCUSD,38988.50,41060.77,38807.50,40429.38,2719.45
6/15/21,Jun,BTCUSD,40429.38,41380.02,39503.90,40043.69,2687.61
6/16/21,Jun,BTCUSD,40043.69,40490.02,38059.01,38875.00,2783.60
6/17/21,Jun,BTCUSD,38875.00,39575.03,37221.62,37938.20,2524.23
6/18/21,Jun,BTCUSD,37938.20,38129.09,34845.33,35129.23,2958.68
6/19/21,Jun,BTCUSD,35129.23,36464.63,34970.25,35520.66,1611.01
6/20/21,Jun,BTCUSD,35520.66,36128.13,33333.01,34629.88,2816.74
6/21/21,Jun,BTCUSD,34629.88,34702.68,31176.42,33029.77,7153.94
6/22/21,Jun,BTCUSD,33029.77,34392.05,28801.00,33992.88,10036.63
6/23/21,Jun,BTCUSD,33992.88,34851.20,32355.04,32606.96,3413.98
6/24/21,Jun,BTCUSD,32606.96,35274.90,32315.01,35100.00,2257.34
6/25/21,Jun,BTCUSD,35100.00,35100.00,31303.71,31983.86,3682.14
6/26/21,Jun,BTCUSD,31983.86,33209.59,30142.68,33149.18,3583.91
6/27/21,Jun,BTCUSD,33149.18,34983.42,32374.05,34388.62,2229.39
6/28/21,Jun,BTCUSD,34388.62,35286.03,33885.15,34591.62,2923.54
6/29/21,Jun,BTCUSD,34591.62,36661.80,34556.07,35095.44,3012.66
6/30/21,Jun,BTCUSD,35095.44,35333.25,34050.00,34132.04,2031.63
7/1/21,Jul,BTCUSD,34132.04,34475.55,32722.69,32933.44,2240.46
7/2/21,Jul,BTCUSD,32933.44,33926.45,32700.00,33540.48,1321.23
7/3/21,Jul,BTCUSD,33540.48,34942.56,33466.62,34670.00,647.93
7/4/21,Jul,BTCUSD,34670.00,35985.71,34211.29,34360.84,1073.60
7/5/21,Jul,BTCUSD,34360.84,34559.72,33100.00,33942.22,1323.66
7/6/21,Jul,BTCUSD,33942.22,35114.32,33530.40,34465.35,2039.50
7/7/21,Jul,BTCUSD,34465.35,35098.28,33094.64,33337.00,1485.76
7/8/21,Jul,BTCUSD,33337.00,33493.24,32101.00,32954.75,2063.01
7/9/21,Jul,BTCUSD,32954.75,34262.53,32625.74,33799.81,1273.26
7/10/21,Jul,BTCUSD,33799.81,34195.26,33046.00,33420.84,803.55
7/11/21,Jul,BTCUSD,33420.84,34602.00,33333.01,34452.39,816.86
7/12/21,Jul,BTCUSD,34452.39,34670.21,32669.89,33087.26,1322.29
7/13/21,Jul,BTCUSD,33087.26,33334.71,31661.01,31853.69,1282.07
7/14/21,Jul,BTCUSD,31853.69,33189.99,31601.59,32671.54,1083.12
7/15/21,Jul,BTCUSD,32671.54,32691.72,31135.00,31924.93,1534.41
7/16/21,Jul,BTCUSD,31924.93,32252.21,31027.01,31313.83,1355.02
7/17/21,Jul,BTCUSD,31313.83,32437.07,31206.23,32169.82,765.31
7/18/21,Jul,BTCUSD,32169.82,32200.55,31123.00,31547.22,572.89
7/19/21,Jul,BTCUSD,31547.22,31890.59,29500.00,29605.35,2184.44
7/20/21,Jul,BTCUSD,29605.35,30005.72,29284.35,29853.86,2075.28
7/21/21,Jul,BTCUSD,29853.86,32950.00,29853.86,31947.52,3023.28
7/22/21,Jul,BTCUSD,31947.52,32806.46,31732.34,32598.43,1223.10
7/23/21,Jul,BTCUSD,32598.43,33800.00,32000.00,33689.58,1319.58
7/24/21,Jul,BTCUSD,33689.58,34525.50,33582.40,34192.14,785.46
7/25/21,Jul,BTCUSD,34192.14,39782.93,33894.22,38312.57,3558.08
7/26/21,Jul,BTCUSD,38312.57,40572.45,36400.00,36851.52,5021.11
7/27/21,Jul,BTCUSD,36851.52,40366.57,36713.13,39848.44,5729.11
7/28/21,Jul,BTCUSD,39848.44,40928.46,38803.47,39638.77,3682.36
7/29/21,Jul,BTCUSD,39638.77,40639.14,39409.40,39982.79,1561.72
7/30/21,Jul,BTCUSD,39982.79,42400.00,38350.00,41840.36,2600.84
7/31/21,Jul,BTCUSD,41840.36,42600.00,41072.59,42461.13,687.36
8/1/21,Aug,BTCUSD,42461.13,42475.28,39213.05,39811.54,1237.92
8/2/21,Aug,BTCUSD,39811.54,40446.58,38515.00,38650.00,1815.10
8/3/21,Aug,BTCUSD,38650.00,38824.81,37558.09,37962.25,2750.52
8/4/21,Aug,BTCUSD,37962.25,39973.96,37472.15,39440.62,1911.35
8/5/21,Aug,BTCUSD,39440.62,41431.18,37311.06,40250.79,3715.50
8/6/21,Aug,BTCUSD,40250.79,43792.42,39897.39,43720.00,2238.33
8/7/21,Aug,BTCUSD,43720.00,44837.59,42460.00,44391.34,3336.16
8/8/21,Aug,BTCUSD,44391.34,45386.81,42813.74,43529.34,2023.49
8/9/21,Aug,BTCUSD,43529.34,46729.86,43295.22,45727.39,3092.30
8/10/21,Aug,BTCUSD,45727.39,46183.47,44642.21,45594.16,1768.99
8/11/21,Aug,BTCUSD,45594.16,46775.00,45426.58,45948.06,1565.84
8/12/21,Aug,BTCUSD,45948.06,46023.08,43800.00,45205.46,1840.77
8/13/21,Aug,BTCUSD,45205.46,47900.00,44952.59,47571.64,1609.57
8/14/21,Aug,BTCUSD,47571.64,48181.51,46045.86,46910.99,1112.09
8/15/21,Aug,BTCUSD,46910.99,48044.25,45509.51,47400.89,1360.76
8/16/21,Aug,BTCUSD,47400.89,47744.50,45250.51,46435.44,1687.08
8/17/21,Aug,BTCUSD,46435.44,47162.94,44211.13,45078.79,2149.38
8/18/21,Aug,BTCUSD,45078.79,46031.00,44055.00,44074.77,1324.73
8/19/21,Aug,BTCUSD,44074.77,47424.13,43902.53,47042.28,1566.00
8/20/21,Aug,BTCUSD,47042.28,49400.00,46714.57,48839.62,1328.32
8/21/21,Aug,BTCUSD,48839.62,49812.54,48281.42,48837.62,1213.11
8/22/21,Aug,BTCUSD,48837.62,50540.19,48071.03,50289.05,974.81
8/23/21,Aug,BTCUSD,50289.05,50517.99,48800.00,49350.00,1051.66
8/24/21,Aug,BTCUSD,49350.00,49867.71,47614.30,47995.78,1369.87
8/25/21,Aug,BTCUSD,47995.78,49365.42,47112.12,47931.00,1666.41
8/26/21,Aug,BTCUSD,47931.00,48053.14,46287.63,46845.94,2205.00
8/27/21,Aug,BTCUSD,46845.94,49313.26,46603.36,48900.01,1383.21
8/28/21,Aug,BTCUSD,48900.01,49650.00,48107.99,48267.19,544.26
8/29/21,Aug,BTCUSD,48267.19,49408.07,47800.00,47989.58,446.77
8/30/21,Aug,BTCUSD,47989.58,48735.71,46717.24,47151.91,933.28
8/31/21,Aug,BTCUSD,47151.91,48261.59,46524.71,47052.84,1019.19
9/1/21,Sep,BTCUSD,47052.84,49935.09,46980.44,49596.74,1105.14
9/2/21,Sep,BTCUSD,49596.74,50412.00,48358.88,49485.00,885.44
9/3/21,Sep,BTCUSD,49485.00,51046.11,49241.34,50292.02,1114.40
9/4/21,Sep,BTCUSD,50292.02,50545.41,49414.36,49692.22,1167.15
9/5/21,Sep,BTCUSD,49692.22,51962.68,49505.43,51638.18,1231.14
9/6/21,Sep,BTCUSD,51638.18,52938.78,51003.37,52663.45,1408.74
9/7/21,Sep,BTCUSD,52663.45,52744.48,42600.00,46490.38,4513.57
9/8/21,Sep,BTCUSD,46490.38,46885.38,44419.50,46005.27,2277.31
9/9/21,Sep,BTCUSD,46005.27,47396.38,45651.86,46743.40,1563.22
9/10/21,Sep,BTCUSD,46743.40,46812.87,44156.88,45181.52,1783.43
9/11/21,Sep,BTCUSD,45181.52,46001.33,44758.59,45311.46,685.32
9/12/21,Sep,BTCUSD,45311.46,46504.62,44535.26,44619.12,893.38
9/13/21,Sep,BTCUSD,44619.12,46897.00,43400.00,45206.43,2422.25
9/14/21,Sep,BTCUSD,45206.43,47498.54,45067.51,47101.27,1516.06
9/15/21,Sep,BTCUSD,47101.27,48455.16,46730.15,47629.10,1276.62
9/16/21,Sep,BTCUSD,47629.10,48500.00,47041.24,47907.00,1069.57
9/17/21,Sep,BTCUSD,47907.00,48165.96,46754.93,47962.79,1247.38
9/18/21,Sep,BTCUSD,47962.79,48808.97,47613.93,47854.23,671.36
9/19/21,Sep,BTCUSD,47854.23,48333.32,45175.20,45553.62,860.71
9/20/21,Sep,BTCUSD,45553.62,45837.90,40137.98,42688.03,4373.38
9/21/21,Sep,BTCUSD,42688.03,43655.53,39590.00,42089.88,2962.61
9/22/21,Sep,BTCUSD,42089.88,44231.92,41836.59,44094.55,1238.61
9/23/21,Sep,BTCUSD,44094.55,45062.97,43389.94,44301.00,1699.82
9/24/21,Sep,BTCUSD,44301.00,45157.81,40696.00,42650.00,4398.27
9/25/21,Sep,BTCUSD,42650.00,42985.06,41677.82,42239.94,1058.07
9/26/21,Sep,BTCUSD,42239.94,44350.00,40801.19,44024.27,1395.68
9/27/21,Sep,BTCUSD,44024.27,44250.76,41980.40,42565.16,1531.06
9/28/21,Sep,BTCUSD,42565.16,42771.12,40764.26,42210.47,2104.50
9/29/21,Sep,BTCUSD,42210.47,43726.63,40908.41,43601.20,1511.58
9/30/21,Sep,BTCUSD,43601.20,44097.70,42702.71,43628.16,1891.52
10/1/21,Oct,BTCUSD,43628.16,48495.68,43472.59,47555.51,3254.02
10/2/21,Oct,BTCUSD,47555.51,48346.70,47144.00,47899.79,761.86
10/3/21,Oct,BTCUSD,47899.79,49259.30,47372.35,47509.65,864.80
10/4/21,Oct,BTCUSD,47509.65,49789.33,46926.68,49320.94,1755.41
10/5/21,Oct,BTCUSD,49320.94,51927.83,49108.30,51561.60,1691.52
10/6/21,Oct,BTCUSD,51561.60,55800.00,50410.00,54838.90,3288.23
10/7/21,Oct,BTCUSD,54838.90,55231.53,53366.00,53826.69,1338.83
10/8/21,Oct,BTCUSD,53826.69,56150.58,53655.00,54588.00,1485.78
10/9/21,Oct,BTCUSD,54588.00,55486.87,54115.27,55043.76,707.72
10/10/21,Oct,BTCUSD,55043.76,56759.01,54376.52,56520.58,1166.24
10/11/21,Oct,BTCUSD,56520.58,58000.00,55838.77,56710.00,1027.91
10/12/21,Oct,BTCUSD,56710.00,57688.88,53911.79,56289.06,1713.92
10/13/21,Oct,BTCUSD,56289.06,58500.02,54250.00,58073.82,1574.70
10/14/21,Oct,BTCUSD,58073.82,59450.00,56807.96,59407.55,1166.89
10/15/21,Oct,BTCUSD,59407.55,62898.00,58768.79,61624.84,3069.46
10/16/21,Oct,BTCUSD,61624.84,62366.08,60174.14,61144.42,864.57
10/17/21,Oct,BTCUSD,61144.42,62552.73,58937.03,62100.00,929.51
10/18/21,Oct,BTCUSD,62100.00,62973.38,59926.13,62600.00,2631.53
10/19/21,Oct,BTCUSD,62600.00,64498.12,61312.00,63870.20,1914.15
10/20/21,Oct,BTCUSD,63870.20,66994.72,63540.51,65077.99,2836.59
10/21/21,Oct,BTCUSD,65077.99,66643.14,61418.02,63243.40,2908.73
10/22/21,Oct,BTCUSD,63243.40,63745.62,60000.00,61234.90,1652.99
10/23/21,Oct,BTCUSD,61234.90,61743.51,59648.91,61226.00,543.68
10/24/21,Oct,BTCUSD,61226.00,62223.14,59505.00,62091.93,848.70
10/25/21,Oct,BTCUSD,62091.93,63703.30,61822.81,62765.47,1477.09
10/26/21,Oct,BTCUSD,62765.47,63102.80,59850.00,60728.00,1278.71
10/27/21,Oct,BTCUSD,60728.00,61500.00,58100.00,58884.70,1865.12
10/28/21,Oct,BTCUSD,58884.70,62508.87,57500.00,61706.36,2789.79
10/29/21,Oct,BTCUSD,61706.36,62978.00,60367.00,61669.43,1737.13
10/30/21,Oct,BTCUSD,61669.43,62487.97,60696.52,61719.10,1116.81
10/31/21,Oct,BTCUSD,61719.10,61768.00,59731.57,59947.01,975.65
11/1/21,Nov,BTCUSD,59947.01,62490.00,59490.18,61133.24,1488.56
11/2/21,Nov,BTCUSD,61133.24,64319.00,61124.50,63257.57,1791.90
11/3/21,Nov,BTCUSD,63257.57,63547.54,60110.00,62469.83,1448.49
11/4/21,Nov,BTCUSD,62469.83,62858.83,60724.16,62249.60,1036.53
11/5/21,Nov,BTCUSD,62249.60,64000.00,60777.30,61172.03,1043.91
11/6/21,Nov,BTCUSD,61172.03,62338.16,60120.00,62199.69,758.38
11/7/21,Nov,BTCUSD,62199.69,65680.00,61537.32,65235.20,892.82
11/8/21,Nov,BTCUSD,65235.20,68534.11,65138.00,68525.75,1421.08
11/9/21,Nov,BTCUSD,68525.75,68529.52,66262.48,66491.25,1229.46
11/10/21,Nov,BTCUSD,66491.25,69000.00,62927.97,64785.34,2966.58
11/11/21,Nov,BTCUSD,64785.34,65587.00,64121.00,64857.63,1050.51
11/12/21,Nov,BTCUSD,64857.63,65071.49,62875.00,63805.12,1466.29
11/13/21,Nov,BTCUSD,63805.12,65338.87,63409.49,64673.28,310.01
11/14/21,Nov,BTCUSD,64673.28,66200.00,63602.20,65744.18,528.50
11/15/21,Nov,BTCUSD,65744.18,66340.74,60503.00,60944.13,1790.80
11/16/21,Nov,BTCUSD,60944.13,61558.53,58573.00,59050.45,2725.20
11/17/21,Nov,BTCUSD,59050.45,60976.25,58434.80,59885.21,1794.84
11/18/21,Nov,BTCUSD,59885.21,60106.30,53760.00,55911.16,3999.42
11/19/21,Nov,BTCUSD,55911.16,59042.00,55856.95,58596.83,1483.12
11/20/21,Nov,BTCUSD,58596.83,59886.11,57442.00,58741.06,777.79
11/21/21,Nov,BTCUSD,58741.06,60061.89,57049.07,57440.38,649.59
11/22/21,Nov,BTCUSD,57440.38,59581.52,55648.53,56975.38,1430.31
11/23/21,Nov,BTCUSD,56975.38,57882.26,55384.00,56423.50,1584.78
11/24/21,Nov,BTCUSD,56423.50,58276.58,55899.00,57756.25,1105.16
11/25/21,Nov,BTCUSD,57756.25,59476.65,57051.76,57952.35,628.99
11/26/21,Nov,BTCUSD,57952.35,58043.76,53529.00,54409.03,2804.10
11/27/21,Nov,BTCUSD,54409.03,55320.80,53739.80,54161.85,556.51
11/28/21,Nov,BTCUSD,54161.85,58265.20,53333.33,57400.61,790.75
11/29/21,Nov,BTCUSD,57400.61,58903.31,56734.49,57163.87,1057.04
11/30/21,Nov,BTCUSD,57163.87,59226.98,55930.25,57404.47,1487.28
12/1/21,Dec,BTCUSD,57404.47,59105.91,55860.02,56362.19,1420.43
12/2/21,Dec,BTCUSD,56362.19,57277.92,56000.00,56380.25,1140.49
12/3/21,Dec,BTCUSD,56380.25,57673.58,51619.30,52055.90,1784.77
