movie,production_budget,domestic_gross,worldwide_gross,mpaa_rating,genre
How the Grinch Stole Christmas,123000000.0,260044825.0,345141403.0,PG,Adventure
Mission: Impossible 2,120000000.0,215409889.0,549588516.0,PG-13,Action
The Perfect Storm,120000000.0,182618434.0,328711434.0,PG-13,Drama
Jason Bourne,120000000.0,162192920.0,416197059.0,PG-13,Action
Life of Pi,120000000.0,124987022.0,607258634.0,PG,Drama
Ghost Rider,120000000.0,115802596.0,229545589.0,PG-13,Action
Charlie's Angels: Full Throttle,120000000.0,100814328.0,227200000.0,PG-13,Action
Rampage,120000000.0,99345950.0,424745950.0,PG-13,Action
Elysium,120000000.0,93050117.0,286192091.0,R,Action
Power Rangers,120000000.0,85364450.0,142545357.0,PG-13,Action
Stuart Little 2,120000000.0,64956806.0,166000000.0,PG,Adventure
The Chronicles of Riddick,120000000.0,57712751.0,107212751.0,PG-13,Adventure
Speed Racer,120000000.0,43945766.0,93394462.0,PG,Action
The Island,120000000.0,35818913.0,163018913.0,PG-13,Action
Knight and Day,117000000.0,76423035.0,258751370.0,PG-13,Action
Star Wars Ep. I: The Phantom Menace,115000000.0,474544677.0,1027044677.0,PG,Adventure
"Monsters, Inc.",115000000.0,289423425.0,559757719.0,G,Adventure
The Wolverine,115000000.0,132556852.0,416456852.0,PG-13,Action
Dante's Peak,115000000.0,67163857.0,178200000.0,PG-13,Drama
The Huntsman: Winter’s War,115000000.0,48003015.0,165149302.0,PG-13,Action
Windtalkers,115000000.0,40914068.0,77628265.0,R,Action
Gulliver's Travels,112000000.0,42779261.0,232017848.0,PG,Adventure
Ferdinand,111000000.0,84410380.0,289867087.0,PG,Adventure
Deadpool 2,110000000.0,318491426.0,733809601.0,R,Action
Night at the Museum,110000000.0,250863268.0,579446407.0,PG,Adventure
Mr. and Mrs. Smith,110000000.0,186336279.0,486124090.0,PG-13,Action
San Andreas,110000000.0,155190832.0,457199280.0,PG-13,Adventure
The Smurfs,110000000.0,142614158.0,563749323.0,PG,Adventure
Live Free or Die Hard,110000000.0,134529403.0,382288147.0,PG-13,Action
The Divergent Series: Insurgent,110000000.0,130179072.0,295075882.0,PG-13,Action
Ocean's Twelve,110000000.0,125531634.0,362989076.0,PG-13,Adventure
Tomorrow Never Dies,110000000.0,125304276.0,339504276.0,PG-13,Action
The Patriot,110000000.0,113330342.0,215300000.0,R,Drama
300: Rise of an Empire,110000000.0,106580051.0,330780051.0,R,Action
The Green Hornet,110000000.0,98780042.0,229155503.0,PG-13,Action
Real Steel,110000000.0,85463309.0,263880341.0,PG-13,Action
The A-Team,110000000.0,77222099.0,177241171.0,PG-13,Action
The Smurfs 2,110000000.0,71017784.0,348547523.0,PG,Adventure
The Divergent Series: Allegiant,110000000.0,66184051.0,171871661.0,PG-13,Action
The Taking of Pelham 123,110000000.0,65452312.0,152364370.0,R,Action
Ender's Game,110000000.0,61737191.0,127983283.0,PG-13,Adventure
Home on the Range,110000000.0,50026353.0,76482461.0,PG,Adventure
Speed 2: Cruise Control,110000000.0,48097081.0,150468000.0,PG-13,Action
Kingdom of Heaven,110000000.0,47398413.0,218853353.0,R,Adventure
Ghost in the Shell,110000000.0,40563557.0,167918847.0,PG-13,Action
The Cat in the Hat,109000000.0,101018283.0,133818283.0,PG,Adventure
Ali,109000000.0,58183966.0,87683966.0,R,Drama
Allied,106000000.0,40098064.0,119285656.0,R,Drama
"I, Robot",105000000.0,144801023.0,348629585.0,PG-13,Action
Stuart Little,105000000.0,140015224.0,298815224.0,PG,Adventure
The Princess and the Frog,105000000.0,104400899.0,270997378.0,G,Adventure
"10,000 B.C.",105000000.0,94784201.0,269065678.0,PG-13,Adventure
Ice Age: Collision Course,105000000.0,64063008.0,403092412.0,PG,Adventure
Kingsman: The Golden Circle,104000000.0,100234838.0,408822328.0,R,Action
Gone in 60 Seconds,103300000.0,101643008.0,232643008.0,PG-13,Action
The Hangover 3,103000000.0,112200072.0,362000072.0,R,Comedy
A Wrinkle in Time,103000000.0,100478608.0,133401882.0,PG,Adventure
Public Enemies,102500000.0,97104620.0,212282709.0,R,Drama
Casino Royale,102000000.0,167365000.0,594420283.0,PG-13,Action
Minority Report,102000000.0,132024714.0,358824714.0,PG-13,Action
Cloud Atlas,102000000.0,27108272.0,130673154.0,R,Drama
Terminator 2: Judgment Day,100000000.0,203464105.0,515419827.0,R,Action
Batman Forever,100000000.0,184031112.0,336529144.0,PG-13,Action
Planet of the Apes,100000000.0,180011740.0,362211740.0,PG-13,Adventure
National Treasure,100000000.0,173005002.0,331323410.0,PG,Adventure
Venom,100000000.0,171125095.0,461825095.0,PG-13,Action
Little Fockers,100000000.0,148438600.0,310650574.0,PG-13,Comedy
True Lies,100000000.0,146282411.0,365300000.0,R,Action
American Gangster,100000000.0,130164645.0,267985456.0,R,Drama
Cloudy with a Chance of Meatballs,100000000.0,124870275.0,236827677.0,PG,Adventure
The Other Guys,100000000.0,119219978.0,170936470.0,PG-13,Comedy
Epic,100000000.0,107518682.0,262794441.0,PG,Adventure
Eraser,100000000.0,101295562.0,234400000.0,R,Action
The Hunchback of Notre Dame,100000000.0,100138851.0,325500000.0,G,Adventure
The Emperor's New Groove,100000000.0,89296573.0,169296573.0,G,Adventure
The Expendables 2,100000000.0,85028192.0,311979256.0,R,Action
Where the Wild Things Are,100000000.0,77233467.0,99123656.0,PG,Adventure
Eragon,100000000.0,75030163.0,249488115.0,PG,Adventure
Hercules,100000000.0,72688614.0,243388614.0,PG-13,Action
End of Days,100000000.0,66889043.0,212026975.0,R,Action
The Stepford Wives,100000000.0,59475623.0,96221971.0,PG-13,Comedy
Surf's Up,100000000.0,58867694.0,145395745.0,PG,Adventure
Blood Diamond,100000000.0,57377916.0,171377916.0,R,Action
Starship Troopers,100000000.0,54768952.0,121100000.0,R,Action
Land of the Lost,100000000.0,49438370.0,69548641.0,PG-13,Comedy
Catwoman,100000000.0,40202379.0,82145379.0,PG-13,Action
The Expendables 3,100000000.0,39322544.0,209461378.0,PG-13,Action
Treasure Planet,100000000.0,38120554.0,91800000.0,PG,Adventure
Green Zone,100000000.0,35497337.0,97523020.0,R,Drama
Geostorm,100000000.0,33700160.0,220800160.0,PG-13,Action
In the Heart of the Sea,100000000.0,25020758.0,89693309.0,PG-13,Adventure
Son of the Mask,100000000.0,17018422.0,59918422.0,PG,Adventure
The Adventures of Pluto Nash,100000000.0,4411102.0,7094995.0,PG-13,Comedy
Jin líng shí san chai,100000000.0,311434.0,98227017.0,R,Drama
Wonder Park,100000000.0,0.0,0.0,PG,Adventure
The Peanuts Movie,99000000.0,130178411.0,250091610.0,G,Adventure
The Mummy Returns,98000000.0,202007640.0,435040395.0,PG-13,Adventure
Gangs of New York,97000000.0,77730500.0,183124621.0,R,Drama
Alien: Covenant,97000000.0,74262031.0,238521247.0,R,Horror
Cinderella,95000000.0,201151353.0,534551353.0,PG,Drama
Ice Age: Continental Drift,95000000.0,161321843.0,879765137.0,PG,Adventure
Black Hawk Down,95000000.0,108638745.0,159691085.0,R,Action
Sex and the City 2,95000000.0,95347692.0,294680778.0,R,Comedy
The Campaign,95000000.0,86907746.0,104907746.0,R,Comedy
Unstoppable,95000000.0,81562942.0,165720921.0,PG-13,Action
The Fifth Element,95000000.0,63570862.0,263898761.0,PG-13,Action
The Road to El Dorado,95000000.0,50802661.0,65700000.0,PG,Adventure
The Lovely Bones,95000000.0,44114232.0,94894448.0,PG-13,Drama
Seventh Son,95000000.0,17725785.0,109485785.0,PG-13,Adventure
Finding Nemo,94000000.0,380529370.0,936429370.0,G,Adventure
Lara Croft: Tomb Raider,94000000.0,131144183.0,273330185.0,PG-13,Adventure
Kingsman: The Secret Service,94000000.0,128261724.0,404561724.0,R,Action
Jurassic Park III,93000000.0,181166115.0,365900000.0,PG-13,Action
Rise of the Planet of the Apes,93000000.0,176760185.0,482860185.0,PG-13,Adventure
The Spiderwick Chronicles,92500000.0,71195053.0,162839667.0,PG,Adventure
The Incredibles,92000000.0,261441092.0,614726752.0,PG,Adventure
A Good Day to Die Hard,92000000.0,67349198.0,304249198.0,R,Action
Cutthroat Island,92000000.0,10017322.0,18517322.0,PG-13,Adventure
The Secret Life of Walter Mitty,91000000.0,58236838.0,187861183.0,PG,Adventure
Jumanji: Welcome to the Jungle,90000000.0,404508916.0,961758540.0,PG-13,Adventure
Men in Black,90000000.0,250690539.0,587790539.0,PG-13,Adventure
Toy Story 2,90000000.0,245852179.0,511358276.0,G,Adventure
Rush Hour 2,90000000.0,226164286.0,347425832.0,PG-13,Action
Sherlock Holmes,90000000.0,209028679.0,498438212.0,PG-13,Adventure
Ice Age: Dawn of the Dinosaurs,90000000.0,196573705.0,859701857.0,PG,Adventure
Rio,90000000.0,143619809.0,487519809.0,G,Adventure
The Departed,90000000.0,132384315.0,289660619.0,R,Drama
Charlie's Angels,90000000.0,125305545.0,259736090.0,PG-13,Action
Mulan,90000000.0,120620254.0,303500000.0,G,Adventure
Tropic Thunder,90000000.0,110515313.0,191145256.0,R,Comedy
Contact,90000000.0,100920329.0,165900000.0,PG,Drama
You Don't Mess With the Zohan,90000000.0,100018837.0,202910991.0,PG-13,Comedy
Die Hard: With a Vengeance,90000000.0,100012499.0,366101666.0,R,Action
Atlantis: The Lost Empire,90000000.0,84052762.0,186049020.0,PG,Adventure
Pixels,90000000.0,78765986.0,244041804.0,PG-13,Adventure
Artificial Intelligence: AI,90000000.0,78616689.0,235900000.0,PG-13,Drama
The Haunted Mansion,90000000.0,75817994.0,155750628.0,PG,Adventure
Hollow Man,90000000.0,73209340.0,191200000.0,R,Horror
Percy Jackson: Sea of Monsters,90000000.0,68559554.0,200859554.0,PG,Adventure
Spy Game,90000000.0,62362560.0,143049560.0,R,Action
The Saint,90000000.0,61363304.0,169400000.0,PG-13,Action
Mission to Mars,90000000.0,60874615.0,106000000.0,PG,Adventure
Bicentennial Man,90000000.0,58220776.0,87420776.0,PG,Drama
Tomb Raider,90000000.0,57421715.0,272648985.0,PG-13,Action
King Arthur,90000000.0,51877963.0,203877963.0,PG-13,Adventure
Volcano,90000000.0,47546796.0,120100000.0,PG-13,Action
K-19: The Widowmaker,90000000.0,35168966.0,65716126.0,PG-13,Action
The Promise,90000000.0,8224288.0,10551417.0,PG-13,Drama
Twister,88000000.0,241688385.0,495700000.0,PG-13,Action
Cinderella Man,88000000.0,61649911.0,105021488.0,PG-13,Drama
The Predator,88000000.0,50787159.0,127987159.0,R,Action
Fantastic Four,87500000.0,154696080.0,333132750.0,PG-13,Action
Hannibal,87000000.0,165092266.0,350100280.0,R,Horror
Seabiscuit,86000000.0,120277854.0,148715342.0,PG-13,Drama
Cast Away,85000000.0,233632142.0,427230516.0,PG-13,Drama
Happy Feet,85000000.0,198000317.0,385000317.0,PG,Adventure
Air Force One,85000000.0,172956409.0,315268353.0,R,Action
Fast & Furious,85000000.0,155064265.0,363064265.0,PG-13,Action
Horton Hears a Who,85000000.0,154529439.0,299477886.0,G,Adventure
Divergent,85000000.0,150947895.0,276014965.0,PG-13,Adventure
Hotel Transylvania,85000000.0,148313048.0,378505812.0,PG,Adventure
I Now Pronounce You Chuck and Larry,85000000.0,119725280.0,185708462.0,PG-13,Comedy
Ocean's Thirteen,85000000.0,117144465.0,311744465.0,PG-13,Adventure
Enemy of the State,85000000.0,111549836.0,250649836.0,R,Action
Open Season,85000000.0,85105259.0,191932158.0,PG,Adventure
Tower Heist,85000000.0,78046570.0,150422946.0,PG-13,Comedy
102 Dalmatians,85000000.0,66941559.0,66941559.0,G,Adventure
Mirror Mirror,85000000.0,64935167.0,173613482.0,PG,Adventure
Memoirs of a Geisha,85000000.0,57010853.0,161510853.0,PG-13,Drama
Enemy at the Gates,85000000.0,51396781.0,96971293.0,R,Drama
Last Action Hero,85000000.0,50016394.0,137298489.0,PG-13,Action
The Rundown,85000000.0,47641743.0,80831893.0,PG-13,Action
Arthur Christmas,85000000.0,46462469.0,149717124.0,PG,Adventure
xXx: Return of Xander Cage,85000000.0,44898413.0,345044476.0,PG-13,Action
Meet Joe Black,85000000.0,44650003.0,44650003.0,PG-13,Drama
Collateral Damage,85000000.0,40048332.0,78353508.0,R,Action
Showtime,85000000.0,37948765.0,78948765.0,PG-13,Comedy
Judge Dredd,85000000.0,34687912.0,113487912.0,R,Action
Scott Pilgrim vs. The World,85000000.0,31611316.0,48056764.0,PG-13,Comedy
The Core,85000000.0,31111260.0,74132631.0,PG-13,Action
Father's Day,85000000.0,28681080.0,35681080.0,PG-13,Comedy
Scooby-Doo,84000000.0,153294164.0,276294164.0,PG,Adventure
Nutty Professor II: The Klumps,84000000.0,123307945.0,166307945.0,PG-13,Comedy
RED 2,84000000.0,53262560.0,141507355.0,PG-13,Action
Click,82500000.0,137355633.0,237685089.0,PG-13,Comedy
Charlotte's Web,82500000.0,82985708.0,143985708.0,G,Drama
Jumper,82500000.0,80172128.0,222640812.0,PG-13,Adventure
Hellboy II: The Golden Army,82500000.0,75986503.0,160388063.0,PG-13,Action
The Longest Yard,82000000.0,158119460.0,191558505.0,PG-13,Comedy
The Expendables,82000000.0,103068524.0,268268174.0,R,Action
The 6th Day,82000000.0,34543701.0,96024898.0,PG-13,Action
Bruce Almighty,81000000.0,242704995.0,484468608.0,PG-13,Comedy
The Hangover Part II,80000000.0,254464305.0,586464305.0,R,Comedy
Mission: Impossible,80000000.0,180981886.0,457697994.0,PG-13,Action
The Lego Batman Movie,80000000.0,175750384.0,310692896.0,PG,Adventure
Hotel Transylvania 2,80000000.0,169700110.0,469500298.0,PG,Adventure
Batman Returns,80000000.0,162833635.0,266824291.0,PG-13,Action
The Mummy,80000000.0,155385488.0,416385488.0,PG-13,Adventure
Over the Hedge,80000000.0,155019340.0,343397247.0,PG,Adventure
Lilo & Stitch,80000000.0,145771527.0,245800000.0,PG,Adventure
Deep Impact,80000000.0,140464664.0,349464664.0,PG-13,Adventure
Grown Ups 2,80000000.0,133668525.0,247023808.0,PG-13,Comedy
Get Smart,80000000.0,130319208.0,226739416.0,PG-13,Comedy
Robots,80000000.0,128200012.0,260700012.0,PG,Adventure
Four Christmases,80000000.0,120146040.0,168311558.0,PG-13,Comedy
Face/Off,80000000.0,112276146.0,241200000.0,R,Action
Bedtime Stories,80000000.0,110101975.0,221468935.0,PG,Adventure
Road to Perdition,80000000.0,104054514.0,183354514.0,R,Drama
Daredevil,80000000.0,102543518.0,182782518.0,PG-13,Action
Con Air,80000000.0,101117573.0,224117573.0,R,Action
Yogi Bear,80000000.0,100246011.0,204774690.0,PG,Adventure
Cold Mountain,80000000.0,95632614.0,165173909.0,R,Drama
The Book of Eli,80000000.0,94835059.0,158750817.0,R,Action
Flubber,80000000.0,92993801.0,177993801.0,PG,Comedy
The Haunting,80000000.0,91188905.0,180188905.0,PG-13,Horror
Space Jam,80000000.0,90463534.0,250200000.0,PG,Adventure
Fury,80000000.0,85817906.0,210315681.0,R,Drama
The Pink Panther,80000000.0,82226474.0,158926474.0,PG,Adventure
The Day the Earth Stood Still,80000000.0,79366978.0,233066978.0,PG-13,Adventure
Spirit: Stallion of the Cimarron,80000000.0,73215310.0,106515310.0,G,Adventure
Swordfish,80000000.0,69772969.0,147080413.0,R,Action
Lost In Space,80000000.0,69117629.0,136047317.0,PG-13,Adventure
Smallfoot,80000000.0,66361035.0,137161035.0,PG,Adventure
Bewitched,80000000.0,63313159.0,131159306.0,PG-13,Comedy
The Time Machine,80000000.0,56684819.0,98983590.0,PG-13,Adventure
What Dreams May Come,80000000.0,55485043.0,71485043.0,PG-13,Drama
Mighty Joe Young,80000000.0,50632037.0,50632037.0,PG,Adventure
The Legend of Zorro,80000000.0,45575336.0,141475336.0,PG,Adventure
Little Nicky,80000000.0,39442871.0,58270391.0,PG-13,Comedy
Surrogates,80000000.0,38577772.0,119668350.0,PG-13,Action
Evolution,80000000.0,38311134.0,98341932.0,PG-13,Comedy
The Brothers Grimm,80000000.0,37899638.0,105299638.0,PG-13,Adventure
Mars Attacks!,80000000.0,37771017.0,101371017.0,PG-13,Comedy
The Wild,80000000.0,37384046.0,99010667.0,G,Adventure
Walking with Dinosaurs,80000000.0,36076121.0,123386322.0,PG,Adventure
Thirteen Days,80000000.0,34566746.0,66554547.0,PG-13,Drama
Daylight,80000000.0,32908290.0,158908290.0,PG-13,Action
The Last Witch Hunter,80000000.0,27367660.0,131437876.0,PG-13,Action
Pompeii,80000000.0,23169033.0,108469033.0,PG-13,Drama
Looney Tunes: Back in Action,80000000.0,20950820.0,54540662.0,PG,Adventure
Timeline,80000000.0,19480739.0,26703184.0,PG-13,Adventure
Babe: Pig in the City,80000000.0,18319860.0,69131860.0,G,Adventure
The Postman,80000000.0,17650704.0,20841123.0,R,Action
Red Planet,80000000.0,17480890.0,33463969.0,PG-13,Action
Arthur et les Minimoys,80000000.0,15132763.0,113325743.0,PG,Adventure
A Sound of Thunder,80000000.0,1900451.0,6300451.0,PG-13,Action
The Lion King,79300000.0,421785283.0,986332275.0,G,Adventure
Journey 2: The Mysterious Island,79000000.0,103860290.0,318146162.0,PG,Adventure
Jack and Jill,79000000.0,74158157.0,150519217.0,PG,Comedy
A Beautiful Mind,78000000.0,170708996.0,317668058.0,PG-13,Drama
Cloudy with a Chance of Meatballs 2,78000000.0,119793567.0,274392649.0,PG,Adventure
Exorcist: The Beginning,78000000.0,41814863.0,43957541.0,R,Horror
The Little Prince,77500000.0,1311213.0,102029819.0,PG,Adventure
Despicable Me 2,76000000.0,368065385.0,975216835.0,PG,Adventure
2 Fast 2 Furious,76000000.0,127120058.0,236410607.0,PG-13,Action
The Secret Life of Pets,75000000.0,368384330.0,886767422.0,PG,Adventure
Independence Day,75000000.0,306169255.0,817400878.0,PG-13,Adventure
Sing,75000000.0,270329045.0,634547945.0,PG,Adventure
Despicable Me 3,75000000.0,264624300.0,1034520868.0,PG,Adventure
The Lost World: Jurassic Park,75000000.0,229086679.0,618638999.0,PG-13,Action
Ice Age: The Meltdown,75000000.0,195330621.0,651899282.0,PG,Adventure
Madagascar,75000000.0,193595521.0,556559566.0,PG,Adventure
Grown Ups,75000000.0,162001186.0,272223430.0,PG-13,Comedy
Shark Tale,75000000.0,161412000.0,371917043.0,PG,Adventure
X-Men,75000000.0,157299717.0,296872367.0,PG-13,Action
Wanted,75000000.0,134508551.0,342416460.0,R,Action
The Rock,75000000.0,134069511.0,336069511.0,R,Action
Christopher Robin,75000000.0,98677443.0,186977443.0,PG,Adventure
