School ID,Name of School,Street Address,City,State,ZIP Code,Phone Number,Website,Blue Ribbon Award,CPS Performance Policy Level,CPS Performance Policy Status,Probation Length,"My Voice, My School Overall Rating",Student Response Rate,Teacher Response Rate,Involved Family,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safe,School Community,Parent-Teacher Partnership,Quality of Facilities,Healthy Schools Certification,Creative Schools Certification,NWEA Reading Growth Percentile All Grades,NWEA Reading Growth Percentile Grade 3,NWEA Reading Growth Percentile Grade 4,NWEA Reading Growth Percentile Grade 5,NWEA Reading Growth Percentile Grade 6,NWEA Reading Growth Percentile Grade 7,NWEA Reading Growth Percentile Grade 8,NWEA Math Growth Percentile All Grades,NWEA Math Growth Percentile Grade 3,NWEA Math Growth Percentile Grade 4,NWEA Math Growth Percentile Grade 5,NWEA Math Growth Percentile Grade 6,NWEA Math Growth Percentile Grade 7,NWEA Math Growth Percentile Grade 8,NWEA Reading Attainment Percentile All Grades,NWEA Reading Attainment Percentile Grade 2,NWEA Reading Attainment Percentile Grade 3,NWEA Reading Attainment Percentile Grade 4,NWEA Reading Attainment Percentile Grade 5,NWEA Reading Attainment Percentile Grade 6,NWEA Reading Attainment Percentile Grade 7,NWEA Reading Attainment Percentile Grade 8,NWEA Math Attainment Percentile All Grades,NWEA Math Attainment Percentile Grade 2,NWEA Math Attainment Percentile Grade 3,NWEA Math Attainment Percentile Grade 4,NWEA Math Attainment Percentile Grade 5,NWEA Math Attainment Percentile Grade 6,NWEA Math Attainment Percentile Grade 7,NWEA Math Attainment Percentile Grade 8,Suspensions Per 100 students 2013,Suspensions Per 100 students 2012,Percentage Misconducts Resulting in Suspension 2013,Percentage Misconducts Resulting in Suspension 2012,Average Length of Suspensions 2013,Average Length of Suspension 2012,Student Attendance Percentage 2013,Student Attendance Percentage 2012,Teacher Attendance Percentage 2013,Teacher Attendance Percentage 2012,Grade 3-8 On-Track Percentage 2013,One-Year Drop Out Rate Percentage 2013,One-Year Drop Out Rate Percentage 2012,X Coordinate,Y Coordinate,Longitude,Latitude,Location,Community Areas,Zip Codes,Boundaries - ZIP Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
610135,Portage Park Elementary School,5330 W Berteau Ave,Chicago,IL,60641,(773) 534-3576,http://www.portage.cps.k12.il.us,,LEVEL 2,NOT ON PROBATION,,PARTIALLY ORGANIZED,89.5,78.3,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,STRONG,WEAK,WEAK,NEUTRAL,PENDING CERTIFICATION,EXCELLING,47,27,66,81,58,40,10,48,47,93,63,11,32,15,52,46,48,67,58,52,42,51,50,44,36,68,54,34,39,68,4.3,4.1,34.5,68.7,2.1,2.9,93.8,94.6,94.4,96.1,71.1,,,1139920.815,1927445.996,41.9570151,-87.76100593,"{'latitude': '-87.76100593', 'longitude': '41.9570151'}",,,,,,
610029,Rodolfo Lozano Bilingual & International Ctr ES,1501 N Greenview Ave,Chicago,IL,60642,(773) 534-4750,http://www.cps.edu,,LEVEL 3,ON PROBATION,2,WELL-ORGANIZED,86.1,95,VERY STRONG,STRONG,STRONG,STRONG,STRONG,VERY STRONG,NEUTRAL,STRONG,STRONG,HEALTHY SCHOOLS CERTIFIED,DEVELOPING,63,9,34,92,96,76,39,95,47,85,48,79,90,99,45,16,38,36,73,43,50,51,30,22,17,32,36,14,35,58,4.7,1.3,45.2,,1.4,,94,94.9,94.8,96.7,75.3,,,1166155.136,1910106.654,41.90891372,-87.66505758,"{'latitude': '-87.66505758', 'longitude': '41.90891372'}",,,,,,
610010,Friedrich Ludwig Jahn Elementary School,3149 N Wolcott Ave,Chicago,IL,60657,(773) 534-5500,http://www.jahn.cps.k12.il.us,,LEVEL 3,ON PROBATION,1,PARTIALLY ORGANIZED,95.8,90.3,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,WEAK,STRONG,NEUTRAL,WEAK,NEUTRAL,HEALTHY SCHOOLS CERTIFIED,DEVELOPING,47,43,18,49,52,88,29,56,30,92,66,32,47,33,36,18,45,33,42,40,42,38,30,42,31,61,24,23,25,29,3.5,4.5,23.9,44.9,2.8,3,93.9,95,93.7,94.4,69.3,,,1163153.671,1921136.53,41.93924404,-87.67577282,"{'latitude': '-87.67577282', 'longitude': '41.93924404'}",,,,,,
400009,Academy for Global Citizenship Elementary School,4647 W 47th St,Chicago,IL,60632,(773) 582-1100,http://www.agcchicago.org/,,LEVEL 1,NOT APPLICABLE,,NOT ENOUGH DATA,0,47.6,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,STRONG,STRONG,HEALTHY SCHOOLS CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5,96.2,,,,,,1145984.54,1873020.207,41.80755107,-87.74009675,"{'latitude': '-87.74009675', 'longitude': '41.80755107'}",,,,,,
609810,Norman A Bridge Elementary School,3800 N New England Ave,Chicago,IL,60634,(773) 534-3718,http://www.bridge.cps.k12.il.us/index.htm.,,LEVEL 1,NOT ON PROBATION,,WELL-ORGANIZED,56.5,78.4,STRONG,NEUTRAL,STRONG,STRONG,STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,STRONG,97,38,62,97,92,93,97,99,99,98,64,95,92,99,59,46,54,53,56,54,59,79,77,67,72,80,66,77,75,85,3.1,0.8,33.7,18.6,1.3,2,95.1,95.7,95.8,96.1,72.2,,,1129684.056,1924513.932,41.94915063,-87.79870722,"{'latitude': '-87.79870722', 'longitude': '41.94915063'}",,,,,,
610163,Frederick Stock Elementary School,7507 W Birchwood Ave,Chicago,IL,60631,(773) 534-1215,http://www.stockschool.org/,,,,,ORGANIZED,0,100,STRONG,VERY WEAK,VERY WEAK,STRONG,STRONG,VERY WEAK,VERY STRONG,VERY STRONG,VERY STRONG,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,73,93.3,94.4,,,,1125318.193,1949163.026,42.0168639,-87.81420664,"{'latitude': '-87.81420664', 'longitude': '42.0168639'}",,,,,,
609922,Belmont-Cragin Elementary School,5252 W Palmer St,Chicago,IL,60639,(773) 534-2900,http://www.belmontcragin.cps.k12.il.us,,LEVEL 1,NOT ON PROBATION,,WELL-ORGANIZED,91.1,69.2,VERY STRONG,VERY STRONG,STRONG,STRONG,VERY STRONG,VERY STRONG,STRONG,VERY STRONG,STRONG,HEALTHY SCHOOLS CERTIFIED,DEVELOPING,79,72,96,23,69,11,92,99,95,99,83,97,64,77,30,,66,41,10,28,23,47,38,,53,61,27,32,31,41,0.3,0.6,4.7,4.3,7.5,2,95,96.1,95.5,96.1,83.3,,,1140773.188,1914158.944,41.92053845,-87.75820003,"{'latitude': '-87.75820003', 'longitude': '41.92053845'}",,,,,,
609850,Horace Greeley Elementary School,832 W Sheridan Rd,Chicago,IL,60613,(773) 534-5800,http://www.greeley.cps.k12.il.us,,LEVEL 1,NOT ON PROBATION,,ORGANIZED,92.6,100,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,STRONG,PENDING CERTIFICATION,STRONG,71,73,38,69,77,74,40,99,85,98,99,98,99,99,60,45,84,38,67,54,49,75,81,70,71,75,83,68,71,96,0.8,1.2,17.9,24.1,2,3.6,95.6,96.6,94.9,96.4,83.4,,,1169860.926,1926142.578,41.95283701,-87.65097549,"{'latitude': '-87.65097549', 'longitude': '41.95283701'}",,,,,,
609986,Charles R Henderson Elementary School,5650 S Wolcott Ave,Chicago,IL,60636,(773) 535-9080,http://www.cps.edu,,LEVEL 2,ON PROBATION,7,ORGANIZED,76.6,88.9,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,STRONG,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,9,23,8,11,27,60,75,86,79,11,94,93,21,88,1,0,1,1,1,0,10,8,5,1,9,8,19,8,2,7,55.9,56.9,64.4,80.9,1.6,1.6,90.3,91.9,93.7,94.3,50.2,,,1164617.918,1866985.258,41.79061716,-87.67192466,"{'latitude': '-87.67192466', 'longitude': '41.79061716'}",,,,,,
610105,Oriole Park Elementary School,5424 N Oketo Ave,Chicago,IL,60656,(773) 534-1201,http://www.orioleparkschool.com,,LEVEL 1,NOT ON PROBATION,,WELL-ORGANIZED,94.9,68.8,VERY STRONG,STRONG,NEUTRAL,STRONG,STRONG,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,PENDING CERTIFICATION,STRONG,96,81,98,84,76,73,99,99,99,88,78,82,98,99,95,93,96,93,96,87,93,98,99,83,99,96,99,97,99,99,1.1,0.2,20,,1,,95.6,97.1,95.5,95.8,92.3,,,1125978.285,1935191.982,41.97851501,-87.81209057,"{'latitude': '-87.81209057', 'longitude': '41.97851501'}",,,,,,
400021,Catalyst Elementary School - Circle Rock,5608 W Washington Blvd,Chicago,IL,60644,(773) 945-5025,http://www.cps.edu,,LEVEL 3,NOT APPLICABLE,,PARTIALLY ORGANIZED,91.7,91.3,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,STRONG,NOT CERTIFIED,INCOMPLETE DATA,25,10,19,72,74,21,41,59,61,52,92,51,36,19,25,20,7,30,39,40,30,27,25,44,15,36,29,31,21,16,,,,,,,95.3,93.6,,,,,,1138921.915,1900229.935,41.88234944,-87.76534092,"{'latitude': '-87.76534092', 'longitude': '41.88234944'}",,,,,,
609855,Walter S Christopher Elementary School,5042 S Artesian Ave,Chicago,IL,60632,(773) 535-9375,http://www.christopher.cps.k12.il.us,,,,,NOT YET ORGANIZED,60.7,73,WEAK,NEUTRAL,WEAK,VERY WEAK,WEAK,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,29,,33,61,16,17,39,50,,50,88,46,13,69,34,,,20,38,45,20,39,31,,,71,28,43,11,38,3,3.3,27.3,34.6,2.4,3.3,82.6,84.6,93.4,93.9,40.8,,,1160846.21,1870985.96,41.8016744,-87.68564411,"{'latitude': '-87.68564411', 'longitude': '41.8016744'}",,,,,,
610026,John H Kinzie Elementary School,5625 S Mobile Ave,Chicago,IL,60638,(773) 535-2425,http://www.kinzie.cps.k12.il.us,,LEVEL 1,NOT ON PROBATION,,ORGANIZED,86.7,68.1,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,STRONG,WEAK,NEUTRAL,NEUTRAL,NOT CERTIFIED,INCOMPLETE DATA,17,14,28,27,58,34,17,21,37,38,42,21,52,7,33,67,24,33,28,39,17,45,59,58,35,54,64,65,47,80,2.3,3.6,51.6,40,1.3,1.9,95,95.6,94,95.3,81.2,,,1135391.774,1866445.86,41.78970398,-87.7791043,"{'latitude': '-87.7791043', 'longitude': '41.78970398'}",,,,,,
610055,Michael Faraday Elementary School,3250 W Monroe St,Chicago,IL,60624,(773) 534-6670,http://www.faraday.cps.k12.il.us,,LEVEL 1,NOT ON PROBATION,,WELL-ORGANIZED,96.1,100,NEUTRAL,VERY STRONG,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,99,99,99,99,99,99,93,99,99,99,99,99,99,97,61,92,62,96,34,35,53,29,78,98,87,96,53,69,62,58,35.5,36.3,80.7,79.8,3.2,2.6,93.6,94.5,94.8,95.5,75.9,,,1154521.277,1899387.886,41.87974117,-87.70808199,"{'latitude': '-87.70808199', 'longitude': '41.87974117'}",,,,,,
609966,Charles G Hammond Elementary School,2819 W 21st Pl,Chicago,IL,60623,(773) 535-4580,http://www.hammond.cps.k12.il.us,,LEVEL 3,ON PROBATION,2,PARTIALLY ORGANIZED,96.7,100,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,WEAK,WEAK,WEAK,NEUTRAL,HEALTHY SCHOOLS CERTIFIED,EMERGING,57,70,59,88,26,20,53,99,67,34,99,68,99,99,2,12,27,6,8,0,0,3,4,23,8,2,20,0,4,14,16.1,4.5,5.4,38.5,2.1,3,92.6,94.4,95,96.3,57,,,1157809.015,1889554.623,41.85269133,-87.69627777,"{'latitude': '-87.69627777', 'longitude': '41.85269133'}",,,,,,
400027,Chicago Intl Charter - Irving Park,3820 N Spaulding Ave,Chicago,IL,60618,(773) 433-5000,http://www.cps.edu,,LEVEL 1,NOT APPLICABLE,,PARTIALLY ORGANIZED,96.3,87.5,STRONG,NEUTRAL,WEAK,WEAK,NEUTRAL,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,97,89,99,72,88,52,99,84,28,98,29,63,92,86,97,99,98,99,91,87,66,91,94,99,93,97,83,83,83,94,,,,,,,96.7,96.7,,,,,,1153666.451,1925314.104,41.95090201,-87.7105295,"{'latitude': '-87.7105295', 'longitude': '41.95090201'}",,,,,,
400161,Chicago Charter Collegiate HS,11816 S Indiana Ave,Chicago,IL,60628,,http://www.cps.edu,,NOT ENOUGH DATA,NOT APPLICABLE,,NOT ENOUGH DATA,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179659.2,1826548.825,41.67932393,-87.61800463,"{'latitude': '-87.61800463', 'longitude': '41.67932393'}",,,,,,
609884,William E Dever Elementary School,3436 N Osceola Ave,Chicago,IL,60634,(773) 534-3090,http://www.dever.cps.k12.il.us,,LEVEL 1,NOT ON PROBATION,,ORGANIZED,97.9,93.3,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,STRONG,95,48,87,67,98,81,92,99,99,99,92,99,76,90,70,80,56,71,54,70,76,76,90,87,88,92,89,84,91,83,3.3,1.4,31.8,63.2,1.5,3.3,95,95.8,95.7,96.1,84.5,,,1125764.896,1922082.022,41.94254335,-87.813168,"{'latitude': '-87.813168', 'longitude': '41.94254335'}",,,,,,
610143,William C Reavis Math & Science Specialty ES,834 E 50th St,Chicago,IL,60615,(773) 535-1060,http://cuip.uchicago.edu/schools/reavis/homepage.h,,LEVEL 3,ON PROBATION,6,NOT YET ORGANIZED,95.1,84.2,NEUTRAL,WEAK,WEAK,NEUTRAL,VERY WEAK,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,HEALTHY SCHOOLS CERTIFIED,INCOMPLETE DATA,0,12,10,5,4,10,7,1,43,19,5,1,0,38,4,6,16,26,0,4,9,3,3,5,12,14,0,1,3,7,92.2,38.3,21.8,59.3,2.5,2.7,92,93.9,93.6,94.2,47.1,,,1182841.804,1872082.772,41.80420101,-87.6049443,"{'latitude': '-87.6049443', 'longitude': '41.80420101'}",,,,,,
609898,John F Eberhart Elementary School,3400 W 65th Pl,Chicago,IL,60629,(773) 535-9190,http://www.eberhart.cps.k12.il.us,,LEVEL 2,NOT ON PROBATION,,PARTIALLY ORGANIZED,90.7,80,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,STRONG,40,38,70,44,34,53,25,86,71,79,44,71,65,97,30,26,34,50,26,23,27,36,35,43,45,47,25,31,24,53,10.5,6.7,40.3,48.8,2.7,3,94.8,95.4,95.4,95.7,64.5,,,1154822.365,1861019.383,41.7744471,-87.70800189,"{'latitude': '-87.70800189', 'longitude': '41.7744471'}",,,,,,
609927,Foster Park Elementary School,8530 S Wood St,Chicago,IL,60620,(773) 535-2725,http://www.fosterpark.cps.k12.il.us,,LEVEL 3,ON PROBATION,6,ORGANIZED,86,100,STRONG,NEUTRAL,VERY STRONG,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,WEAK,STRONG,HEALTHY SCHOOLS CERTIFIED,EXCELLING,96,74,83,45,99,89,54,99,53,99,99,99,93,97,18,18,31,32,9,22,18,16,32,25,10,76,45,19,27,41,17.8,23,88.6,90.5,1.9,2.5,92.1,93.2,95.4,95.3,59,,,1165798.179,1847975.278,41.7384262,-87.66813597,"{'latitude': '-87.66813597', 'longitude': '41.7384262'}",,,,,,
609943,Samuel Gompers Fine Arts Options ES,12302 S State St,Chicago,IL,60628,(773) 535-5475,http://www.gompers.cps.k12.il.us,,LEVEL 3,ON PROBATION,2,WELL-ORGANIZED,84.8,82.4,NEUTRAL,NEUTRAL,STRONG,STRONG,STRONG,WEAK,STRONG,NEUTRAL,STRONG,NOT CERTIFIED,EXCELLING,0,,1,10,7,8,13,24,,34,16,71,9,54,6,,,2,14,9,5,9,21,,,16,12,21,24,52,45.1,53.5,45.5,65.4,2.7,2.3,93.8,94.6,93.4,94.8,62,,,1178435.326,1823353.395,41.67058298,-87.62258098,"{'latitude': '-87.62258098', 'longitude': '41.67058298'}",,,,,,
400049,Legacy Charter Elementary School,4217 W 18th St,Chicago,IL,60623,(773) 542-1640,http://www.legacycharterschool.org,,LEVEL 2,NOT APPLICABLE,,PARTIALLY ORGANIZED,87.2,74.3,NEUTRAL,NEUTRAL,STRONG,WEAK,WEAK,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,15,9,30,31,39,49,20,27,10,71,17,93,26,4,33,25,30,16,45,40,51,39,33,23,26,36,21,60,43,31,21.8,,88.5,,1.3,,95.5,97.4,,,,,,1148477.255,1891003.441,41.85685194,-87.73049117,"{'latitude': '-87.73049117', 'longitude': '41.85685194'}",,,,,,
610098,Alfred Nobel Elementary School,4127 W Hirsch St,Chicago,IL,60651,(773) 534-4365,http://www.nobel.cps.k12.il.us,,LEVEL 1,NOT ON PROBATION,,WELL-ORGANIZED,94.1,90.9,STRONG,NEUTRAL,STRONG,STRONG,STRONG,STRONG,NEUTRAL,STRONG,NEUTRAL,PENDING CERTIFICATION,STRONG,51,75,58,9,68,47,55,99,88,99,95,99,99,99,13,25,13,14,9,21,18,12,51,42,20,80,46,49,40,68,8.7,8.2,47.7,30.1,1.8,1.9,94.3,95,96.2,96.3,68.5,,,1148503.002,1908960.619,41.90612797,-87.72993324,"{'latitude': '-87.72993324', 'longitude': '41.90612797'}",,,,,,
